#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.982930609473     All      -0.16532605459603367       0.0953323717660659        -0.0582062283222036        0.08230754823516537        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3525.7609692882525    All      -0.18007466023524893       0.08137153244689443       -0.016992947147665874      0.08440330909541144        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6100.735984085116     All      0.5396009897228832         -0.03385150841506146      -0.17036968068080344       -0.19439516103948362       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V             5238.082028818586     All      0.056667752082964463       0.03859823127232431       0.06181165516659817        -0.003127467118181172      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5324.51520158182      All      0.17772463126839472        0.0840852905595213        0.013141509641860314       -0.0299149686931396        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6246.247762578219     All      0.12464586474422915        -0.003397347227362957     0.07084535322383806        -0.03854638390225612       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I             8066.764108937592     All      0.025923162698224648       -0.0037288441372851366    0.015475588903864149       -0.008968029692404038      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4712.98314500711      All      -0.30880661208827387       0.3469685379354104        0.018621963096387084       0.21443855340973594        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8066.759150361258     All      0.032140343264140975       -0.00472674833318365      0.01725811255681742        -0.01123867432476894       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5279.860283783254     All      0.06495783619977417        0.03673714665177741       0.10307470768504616        -0.004592656219917082      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4314.3133199105005    All      -0.35773309984026513       0.23431284500983196       -0.07803249850524274       0.18936660995272928        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5270.280875848689     All      0.2232994359961495         0.1545712483645545        -0.18762979120108564       -0.030760087630665713      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7486.6902028879285    All      0.1665920717482663         -0.025731910328730123     0.0530161841714841         -0.06028037942850264       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7459.08389945873      All      0.19159445120389634        -0.029572566430857705     0.043950031124607984       -0.07008008578849602       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4335.666728445961     All      -0.05036476297760134       0.04435429108493594       0.0645966862787871         0.03373576549926095        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6149.280917218207     All      0.41691697906990766        -0.021404582619766188     0.09426434061363302        -0.13856916841224956       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R             6242.739987805801     All      0.057626184715698824       -0.004973545433095694     -0.010951573560805271      -0.020879510008672587      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B             4243.7297845770345    All      -0.020403751815453133      0.007887057827282717      -0.03347358283934493       0.00772147517711583        
Check         All|All|All                                All                   All      0.9949807611616538         0.9968314999932559        0.00039983020577206985     0.000620689110681717       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4300.982930609473     All      -9.747095417281967e-05     4.671503065656755e-05     -0.00010150455369993251    4.2436436798858786e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3525.7609692882525    All      -0.0002458658341904002     8.062408363923992e-05     -5.8425904885018164e-05    0.00010374122764182172     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6100.735984085116     All      -9.024044350150767e-05     -1.857423106618321e-05    -0.00034852985768016445    7.790756330013653e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V             5238.082028818586     All      1.9252134417120146e-05     1.3298179342587004e-05    -1.8865626608755673e-05    -2.78128531593898e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5324.51520158182      All      5.7928838130856904e-05     2.433526711125405e-05     -0.00015908845889039833    -1.8041918530158772e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6246.247762578219     All      -4.038571653945294e-05     1.2224234899511512e-06    -2.3159012895320513e-05    1.251965969470527e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I             8066.764108937592     All      -2.1002245912470153e-06    3.14524866842717e-07      -1.3491869422076093e-06    7.263553247580749e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4712.98314500711      All      -8.160982391760067e-05     -8.134092842195432e-05    -0.0007176562278018523     -3.193811326163108e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8066.759150361258     All      -4.183474802600995e-06     6.210400275462366e-07     -2.200937835976391e-06     1.466770796944126e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5279.860283783254     All      1.7461314955367865e-05     9.543568649591983e-06     2.692827185821744e-05      -1.3773853619544281e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4314.3133199105005    All      -0.00018784982969389364    5.762245666134475e-05     -0.00038194375153670004    6.291400403736498e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5270.280875848689     All      1.0710816766707501e-05     6.157860462906565e-06     -0.0008016145437187819     -3.725542305969839e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7486.6902028879285    All      -5.5730636363965846e-05    3.89754411381195e-06      -8.967182124494016e-05     1.5421218556098045e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7459.08389945873      All      -3.589960271091379e-05     -4.581591206705648e-06    -0.000138210797740039      4.033593554991139e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4335.666728445961     All      -6.72288453941234e-06      6.0180495183639574e-06    8.932543847083768e-06      4.5487597931031836e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6149.280917218207     All      -8.57773865735879e-05      3.0902502184491933e-06    -5.457563129548836e-05     2.6511653193666183e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R             6242.739987805801     All      -4.401382120480476e-06     3.7709903368237344e-07    5.82152961743993e-07       1.582487332222077e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B             4243.7297845770345    All      -2.1953724324637752e-05    8.520295987073553e-06     -3.631305573663611e-05     8.305906083319921e-06      
