#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4020.2685123828196    All      -0.6423162729526612        0.33786055587157193        -0.763779957550793        0.2851918484168647        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    5914.017215511802     All      1.7252371160268396         -0.7214541909615235        -0.5287748562170246       -0.8205646456970996       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    4962.26133960519      All      -0.6206353487532372        1.215163164967592          1.3302225321979542        0.6573416940169216        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7641.994045389946     All      0.5303001578526019         0.16090603657978875        -0.05610225919501579      -0.12282740416369063      
Check         All|All|All                       All                   All      0.992585652173543          0.9924755664574292         -0.01843454076487918      -0.0008585074270039822    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4020.2685123828196    All      -0.0007006404434196027     0.0003803286930573934      -0.0008553625977228766    0.0003139363063807694     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    5914.017215511802     All      -0.0003481196400989228     0.0002636811785005649      -0.001270578865438179     0.00014258355506008378    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    4962.26133960519      All      -0.0002409078053324999     -8.426688318344579e-05     -0.0009400255761331988    9.07407759570224e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7641.994045389946     All      -1.2170813844525887e-05    -4.8840411107323595e-06    -3.06873795934139e-05     1.0041047978813752e-06    
MWEBV         All|All|All                       All                   All      -0.7185524384499709        -3.700317926411145         -0.024623179399238        -0.9723579360061466       
Redshift      All|All|All                       All                   All      6.79486408667683           -1.3178024732722449        19.688620804422275        -1.7639496774407892       
