#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4020.2685123828196    All      -0.8386304896693716        0.3518451719308757         -0.8746855894515848        0.348743887897518         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    5914.017215511802     All      1.8338680858518877         -0.33354096497806296       -0.66165550942201          -0.7355230800067641       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    4962.26133960519      All      -0.3507550021707062        0.92153274053004           1.5070096237416841         0.4816768928838297        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7641.994045389946     All      0.35195143200062534        0.05712301393296926        0.016455658712055676       -0.09530097486127181      
Check         All|All|All                       All                   All      0.9964340260124348         0.996959961415822          -0.012875816419855024      -0.0004032740866882767    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4020.2685123828196    All      -0.0007023451702720093     0.00031883279924831354     -0.0007858064208797041     0.00029756432894456137    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    5914.017215511802     All      -0.0005492126025148656     0.00012972335717759202     -0.001117705469347791      0.00017127371674000334    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    4962.26133960519      All      -0.00012203818932958764    -0.00027564427020214757    -0.001303466420142694      -0.0001082022737563873    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7641.994045389946     All      -2.1807035705909183e-05    9.146811962657787e-06      -3.4164176106426723e-05    8.558096267748049e-06     
MWEBV         All|All|All                       All                   All      -0.7589460618472978        -3.7220156273059857        -0.030451761729788362      -0.9665281618292082       
Redshift      All|All|All                       All                   All      7.793857182175712          0.4149812294276245         24.009521446174652         -1.3321079852189444       
