#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4673.405246126211    All      -0.517227029681111         0.5795625634316792         0.42081832388038976        0.376039642828796          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.054120931638    All      0.6569173478213103         0.14573453834536565        -0.46816972066818785       -0.1874013228688881        
Zeropoint     AB|CNIa02|SDSS_i                      7405.493932646789    All      0.4278896163591538         -0.060706470641136434      0.15901202344674736        -0.15205584357918106       
Zeropoint     AB|CNIa02|SDSS_r                      6106.743573256484    All      1.1500166174735966         -0.10345586823961028       0.033795121198609834       -0.4067891055729633        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.197727971895    All      -0.7193234296847735        0.4360041148200544         -0.14720151111975444       0.36975926302326434        
Check         All|All|All                           All                  All      0.9982731222881764         0.9971388777163526         -0.0017457632621953323     -0.0004473661689721742     
Lambda        AB|CNIa02|SDSS_g                      4673.405246126211    All      3.409758148688265e-05      -6.965419994418196e-05     -0.0005631161253130149     -5.892465491822399e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.054120931638    All      1.4896911976362688e-05     7.216258191137856e-06      -0.0005863931260453373     -2.8669873633041062e-05    
Lambda        AB|CNIa02|SDSS_i                      7405.493932646789    All      -3.3400213385890696e-05    -1.1748022855244373e-05    -0.00014511055307223213    5.772132767916992e-07      
Lambda        AB|CNIa02|SDSS_r                      6106.743573256484    All      9.845891046069857e-05      -3.314462493518479e-05     -0.0001419018821442547     -4.9200030374477615e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.197727971895    All      -0.000441877132722229      0.00013550507401348776     -0.0007315845363287165     0.00015542512223409857     
MWEBV         All|All|All                           All                  All      -0.8771507618073864        -4.055039583263298         0.01558654502344936        -1.034447382667003         
Redshift      All|All|All                           All                  All      3.73987629588984           -0.09733638418207846       1.965950134918626          -1.1621750852078394        
