#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4673.405246126211    All      -0.5769652967120278        0.5942273356238204         0.24558826559022626        0.3924554477920877         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5416.054120931638    All      0.6656407231150141         0.16000157503128776        -0.20054607986679465       -0.17365275603435743       
Zeropoint     AB|CNIa02|SDSS_i                      7405.493932646789    All      0.44043160836457373        -0.06277238130820706       0.14778745175030908        -0.15731501914755325       
Zeropoint     AB|CNIa02|SDSS_r                      6106.743573256484    All      1.1928099726024506         -0.10489283392480786       0.03249742745293576        -0.42125428630821055       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.197727971895    All      -0.7227401578415378        0.410597204591312          -0.22421646005305054       0.3591595138128931         
Check         All|All|All                           All                  All      0.999176849528473          0.9971609000134052         0.0011106048736259089      -0.0006070998851404052     
Lambda        AB|CNIa02|SDSS_g                      4673.405246126211    All      -5.704352952002878e-05     -7.868912013477315e-05     -0.0005837490075879119     -3.3100718128432674e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5416.054120931638    All      8.590894950223568e-05      -2.6066211900366656e-05    -0.0005597433981158647     -6.145277099168593e-05     
Lambda        AB|CNIa02|SDSS_i                      7405.493932646789    All      -5.9213213169817725e-05    -1.1319714612627346e-05    -0.000195547808894522      6.874087537016566e-06      
Lambda        AB|CNIa02|SDSS_r                      6106.743573256484    All      -6.6493416125458e-05       -2.856822512417612e-05     -0.00032992676991001435    -2.3696340313974207e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.197727971895    All      -0.0003091390244049446     7.517982077308914e-05      -0.0006376357587737156     9.673053622997873e-05      
MWEBV         All|All|All                           All                  All      -0.8859486399881864        -4.050872350617141         0.017778332268839205       -1.030126410132939         
Redshift      All|All|All                           All                  All      3.9808109239368155         0.3555973781535826         1.81438590009168           -1.0998836082966361        
