#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3611.1911339802523    All      -0.1585565592699246        0.06930534932987342       -0.012050838270716291      0.07368434650055697        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5352.442838898364     All      0.18693211412795807        0.08174661020809992       0.2757364396028139         -0.02195752823917676       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4381.0002412916565    All      -0.7490481864555919        0.5615287017879389        -0.15479897174826007       0.4199900420566838         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6497.6014211869515    All      0.28456220801641857        -0.040551938543043065     -0.02068632110088231       -0.1068235089740334        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7833.5652124850585    All      0.08233622039014701        -0.02088507592814537      -0.020906720661018063      -0.03455554301265533       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6372.82614607417      All      0.8503333736619914         -0.06228500559242178      0.10608016041202539        -0.292535960025396         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7899.9276686729645    All      0.2691807429347051         -0.05314694675302434      0.18197911799959776        -0.09687184056084187       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5371.89551006928      All      0.4444206049281302         0.32337618304421056       -0.3961704741772154        -0.05710741916814272       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4345.570137788971     All      -0.21497855390840345       0.13883138492705172       0.03960483779201773        0.1170149190921699         
Check         All|All|All                                     All                   All      0.9951819644254306         0.99791926248054          -0.0012127701516373435     0.0008375076691645167      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3611.1911339802523    All      -0.00028825669592205054    0.00011802136553988818    -6.179508451995016e-06     0.00013206236768860437     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5352.442838898364     All      3.621246540290273e-05      1.8682999529650662e-05    5.058018629866896e-05      -3.4527623290991607e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4381.0002412916565    All      -0.00032544632237173083    7.553020777692158e-05     -0.0008216822347991315     9.394334331634248e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6497.6014211869515    All      -7.547680159247394e-05     1.0417632072697363e-05    -5.067020162570429e-05     2.571746450894131e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7833.5652124850585    All      -3.1388014252765545e-06    2.1087834619807135e-06    2.0391043838409934e-05     2.619269672025873e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6372.82614607417      All      -0.00020953269793804515    9.348249582819045e-06     -0.00019639664563255197    6.253244529941517e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7899.9276686729645    All      1.2991872324058145e-05     -2.870362080967261e-07    3.0634851736167806e-05     -2.9582846398370947e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5371.89551006928      All      2.132111016887574e-05      3.446269247505699e-07     -0.0011342182237055278     -5.7447680746508955e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4345.570137788971     All      -0.00012398832005107327    6.516149343656467e-05     -0.00012416938168864104    5.6071207881529033e-05     
MWEBV         All|All|All                                     All                   All      -0.9338191756309531        -4.034416770029203        0.0220330986442141         -1.0089834071283363        
Redshift      All|All|All                                     All                   All      4.691133386866383          -0.6504511664076063       3.104092168188055          -1.6014084450267838        
