#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3611.1911339802523    All      -0.17603923227752066       0.08653481231917226       -0.01861296526958025       0.08469839360089917        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5352.442838898364     All      0.20318477593515968        0.10318365041248612       0.33609497095904156        -0.01757528159650973       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4381.0002412916565    All      -0.6472167795013497        0.48454204638241904       -0.14556929410276703       0.3621549943295406         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6497.6014211869515    All      0.3631045440274987         -0.048624105014116736     -0.020431994095879986      -0.1350253525188114        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7833.5652124850585    All      0.11756805153889813        -0.02917827432282749      -0.005222525765068881      -0.04803316348258634       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6372.82614607417      All      0.7307690433167033         -0.055989625937868936     -0.03965573261907263       -0.2580428353822102        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7899.9276686729645    All      0.22666916529343173        -0.044378827361057915     0.12593934584530123        -0.08266915383507603       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5371.89551006928      All      0.42000850143696805        0.33127120932610055       -0.21698926940589225       -0.03858788990862369       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4345.570137788971     All      -0.242642115842932         0.16998985067857575       -0.015619516703783221      0.13371077939188583        
Check         All|All|All                                     All                   All      0.9954059539268574         0.9973507364828826        -6.698115770142378e-05     0.0006304905985081988      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3611.1911339802523    All      -0.0003969887186994639     0.00019156672735960376    -7.932300899927286e-05     0.00018817205010624341     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5352.442838898364     All      4.749987075703005e-05      2.5097172001237516e-05    5.7473814625937416e-05     -4.73250363258603e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4381.0002412916565    All      -0.0003179607628593698     9.373411098403602e-05     -0.0006676249192418879     0.00010430953091441927     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6497.6014211869515    All      -9.8280128836315e-05       1.0688808830594272e-05    -0.00011998189897355781    3.0140526875417545e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7833.5652124850585    All      -1.092903444928484e-06     1.1859367762853776e-06    2.1125250965727836e-05     1.6850161574979074e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6372.82614607417      All      -0.00027414536494655545    -3.573196721750072e-06    -0.0006783153671676346     5.7864157303856505e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7899.9276686729645    All      3.073219091694301e-05      -2.635626123073047e-06    9.758513603358078e-05      -6.5142193496467385e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5371.89551006928      All      -2.712949468614325e-05     2.342563326629352e-05     -0.0011913362554649362     -3.669639708347215e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4345.570137788971     All      -0.00012439569088786001    7.96234819347775e-05      -0.00011754552563389352    6.12102396777831e-05       
MWEBV         All|All|All                                     All                   All      -0.9340377757120084        -4.029349032335894        0.007304863078150871       -1.007918726508853         
Redshift      All|All|All                                     All                   All      4.882805715760729          -0.8689469079121714       1.1010971450683218         -1.8243981481428473        
