#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6220.679620709018    All      1.3349212622338218         -0.016483309620429765     -0.13375284562753884       -0.4461657041385096       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4276.407090771298    All      -0.9124075789326846        0.6620548385157576        0.9066190367157247         0.5533124512959272        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5243.645465623115    All      0.009932731357883195       0.5365484859575886        -1.9262089873583763        0.08557821606892764       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7711.322720432687    All      0.5579668402521525         -0.17880181809282192      1.1042747374219326         -0.19071108121113017      
Check         All|All|All                       All                  All      0.990413254911173          1.0033181967600946        -0.049068058848257934      0.002013882015215074      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6220.679620709018    All      -0.0003566515505679366     3.7681891331511055e-05    -0.0005641004710608415     0.00010327416200785421    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4276.407090771298    All      -0.0004942353585082818     0.00015314115644837683    -0.00032507484939955965    0.0001963652314621886     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5243.645465623115    All      -0.00027493803223172604    0.0002501288772056361     -0.003526575301767074      1.3656707848623101e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7711.322720432687    All      -0.00013400893917208463    3.0022043128321564e-05    -0.0001839816820908873     4.5220029919854935e-05    
MWEBV         All|All|All                       All                  All      -0.7700206300397752        -3.9686213405404125       0.2302788960552721         -1.0316131927495327       
Redshift      All|All|All                       All                  All      6.556595952245619          -1.086298818191267        15.48445923953561          -1.7985419721890903       
