#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6220.679620709018    All      1.3586864861982755         -0.01176951722898778      0.08725926128660966        -0.4425086269156345        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4276.407090771298    All      -0.9249823453673911        0.6074849130787818        1.218889572015458          0.5535684461929286         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5243.645465623115    All      0.007581485049527381       0.6211043064675792        -2.493998964405675         0.08854884797865614        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7711.322720432687    All      0.556367354963961          -0.22608562539048194      1.2029383193450816         -0.20118906534337677       
Check         All|All|All                       All                  All      0.9976529808443728         0.9907340769268913        0.015088188241474398       -0.0015803980874265489     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6220.679620709018    All      -0.00029186441520051435    2.1545629880407034e-06    -0.0002092873761078965     8.643211975953526e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4276.407090771298    All      -0.0005653885363879444     0.00018557792550300678    -0.000819103086719147      0.00020806167394476485     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5243.645465623115    All      -0.00016980905612689037    0.0002195412151617652     -0.0033559544630193594     -2.2936641741041277e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7711.322720432687    All      -0.00017807072831033132    6.423358142309594e-05     -0.00038345340754929576    6.181472081406312e-05      
MWEBV         All|All|All                       All                  All      -0.7629743531246951        -3.981383989852816        0.2776208910231448         -1.0359529559146416        
Redshift      All|All|All                       All                  All      6.420908474699923          -1.0060002334484786       15.119138107786156         -1.7444908102220518        
