#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5212.304297078504    All      -0.1404383017170665        2.540544851865967          1.0351462043979076        0.9194782356956178        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6335.891531984925    All      1.6137046699124507         -2.1206432802609143        -0.6270270830690983       -1.2443813226559712       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7601.093176205605    All      0.3443531646019995         0.4163878698472345         0.18204939234833795       0.03158810162767339       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4245.32206775421     All      -0.7886502650925596        0.09911909620772263        -0.7072904835243587       0.2576125619079626        
Check         All|All|All                                      All                  All      1.028969267704824          0.9354085376600096         -0.11712196984721146      -0.03570242342471741      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5212.304297078504    All      -0.00010081838666822047    0.0011913443235348727      -0.002350146671763326     0.00031602365347606435    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6335.891531984925    All      -0.0004317738141602738     0.0005579205792022171      0.0001592941050892403     0.0003294845881953475     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7601.093176205605    All      -9.322978503596778e-05     -0.00016331132383771464    7.961453202379701e-05     -1.92750318939696e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4245.32206775421     All      -0.0008050134965325267     7.282333785651595e-05      -0.0023026151599234283    0.00018318519787606936    
MWEBV         All|All|All                                      All                  All      -0.7829749900625429        -3.80318620842095          0.07036636617816505       -0.9806420280755695       
Redshift      All|All|All                                      All                  All      10.49625856513823          -5.804905657139958         14.472635205133422        -4.663978240773586        
