#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5212.304297078504    All      0.5152229181748174        2.2701795928337987        -3.1115836954288585        0.43279143595610026       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6335.891531984925    All      1.0943731354736745        -1.7989618073501745       0.7170295691747898         -0.9104566422954081       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7601.093176205605    All      0.5213485998243627        0.35987568222477506       0.9920926226389877         -0.008324504331611159     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4245.32206775421     All      -1.1003551561831881       0.15724199132201022       1.2627261106874306         0.4659904314883963        
Check         All|All|All                                      All                  All      1.0305894972896659        0.9883354590304094        -0.13973539292765058       -0.0199992791825227       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5212.304297078504    All      0.0002662157720874027     0.001070851512937229      -0.004090478607919358      7.955705914165285e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6335.891531984925    All      -0.0003279420828525109    0.0005239540306619003     -0.00027311389916308206    0.0002653027717684264     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7601.093176205605    All      -0.0001585992179890034    -8.897735685328837e-05    -0.00029459353556285535    9.531774190098979e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4245.32206775421     All      -0.0008334659948389276    -6.503343549266787e-05    -0.0008529298444218009     0.00021224142366790656    
MWEBV         All|All|All                                      All                  All      -0.774623471802351        -3.8241726502906914       0.19084819008490186        -0.9848218164321527       
Redshift      All|All|All                                      All                  All      8.154387465550087         -4.484449964722348        14.630166063842987         -3.464008038933533        
