#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6418.891330841492    All      0.7654642716407942        -0.9212739660943825       -0.8598004401564441        -0.5877950807936839       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4300.935532082972    All      -1.4841713586004963       0.17506806380040985       -0.633952003568572         0.5121785009485381        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7700.667040677595    All      0.4264380106185166        -0.10837340249718608      0.1886762334968317         -0.1657859182822921       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5280.585170583483    All      1.284812973864859         1.8741022335639457        1.2263893158603434         0.24667902148923573       
Check         All|All|All                                      All                  All      0.9925438975236734        1.019522928772787         -0.07868689436784093       0.005276523361797819      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6418.891330841492    All      -0.0002692936124995431    0.00019811456498739402    -0.00038416054898546433    0.0001351068997641461     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4300.935532082972    All      -0.0005681417831075017    0.00011270937344942149    -0.0003496266235959178     0.00020617339059422881    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7700.667040677595    All      -6.452795001253399e-05    5.86028787692183e-05      -6.443415231063643e-05     3.723236153589417e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5280.585170583483    All      0.00017145118409296752    0.0006024418495522344     -0.0005130338929912325     0.000117493492547058      
MWEBV         All|All|All                                      All                  All      -0.8366674577217283       -3.9759619924312872       0.02997154432082816        -1.0212340173086663       
Redshift      All|All|All                                      All                  All      5.038962920582329         -3.4743510337696293       0.09354224698504554        -2.76889207378339         
