#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6418.891330841492    All      0.930792988380468          -0.7011108881668449       -0.8197344241415719        -0.5681457630797095       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4300.935532082972    All      -1.3396914385561227        0.3512748416053313        -0.4676575533125158        0.5299339398559085        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7700.667040677595    All      0.36943569552733135        -0.10156245676551379      0.2971989297520436         -0.14015697033121016      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5280.585170583483    All      1.0167532349963113         1.4269949040532026        0.9272783779764547         0.17500938333539595       
Check         All|All|All                                      All                  All      0.9772904803479883         0.9755964007261753        -0.06291466972558946       -0.003359410219615222     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6418.891330841492    All      -0.0003464774158762206     0.00021512451955207093    -0.0007528118730378225     0.00014933769017006835    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4300.935532082972    All      -0.00047659793539830107    0.0001596137061459891     -0.00029781659267286875    0.00019394487568342251    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7700.667040677595    All      -8.123480253583712e-05     2.50082307947277e-05      -8.490067410354156e-05     3.081812409719206e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5280.585170583483    All      9.876449203082471e-05      0.0004727353367352836     -0.0008336227437662046     8.461385303208107e-05     
MWEBV         All|All|All                                      All                  All      -0.8294735543561784        -3.98749374588494         0.011946363959317441       -1.0281379608033665       
Redshift      All|All|All                                      All                  All      4.856272466358584          -2.993227092359785        1.247574556694765          -2.5011667245769336       
