#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6570.273245116978    All      2.97135409077766           -1.2845669574300445       0.5339614616557495        -1.3624652534074486      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5486.65371203916     All      -1.9748579366465742        2.290248818341034         -0.5304606567181392       1.3656135651521901       
Check         All|All|All                            All                  All      0.9964961541310858         1.0056818609109897        0.003500804937610291      0.0031483117447415054    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6570.273245116978    All      -0.0007585092397121681     0.00029823303725276296    -0.0004274168180121058    0.0003251420758623038    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5486.65371203916     All      -0.00029208454277986784    4.1430639771740564e-05    -0.0017698462438969099    2.965675802531978e-05    
MWEBV         All|All|All                            All                  All      -0.5628876617245937        -3.2040352104587555       0.006535475385672292      -0.8600169995460342      
Redshift      All|All|All                            All                  All      9.054437254046416          -1.0365908699181858       8.793441491492457         -2.8945689379902726      
