#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          3859.540816637673    All      -0.7737366463892419        0.4993031975875084         -0.1573345236738133        0.40764984176984953        
Zeropoint     AB|DECam|DECam_i          6231.843306388053    All      0.8761742887752508         0.02702150578208773        -0.12077698881954868       -0.28198672002001346       
Zeropoint     AB|DECam|DECam_r          5129.616467317257    All      0.391852300267286          0.4989254330919124         0.2085132006362067         0.04418222844032142        
Zeropoint     AB|DECam|DECam_z          7302.803810369783    All      0.5018490498481196         -0.026736186095632775      0.07016289808973175        -0.1690465533894004        
Check         All|All|All               All                  All      0.9961389925014144         0.9985139503658758         0.0005645862325764917      0.0007987968007571178      
Lambda        AB|DECam|DECam_g          3859.540816637673    All      -0.0008939764831278575     0.00044862430864500664     -0.001149039336974065      0.00038605289987212284     
Lambda        AB|DECam|DECam_i          6231.843306388053    All      -0.00024630209798955235    -4.705109614552613e-05     -0.00043952105600769664    4.528880038142403e-05      
Lambda        AB|DECam|DECam_r          5129.616467317257    All      -9.025999534352958e-05     -2.8383715964960413e-05    -0.001108170158648802      -2.9297404676324657e-05    
Lambda        AB|DECam|DECam_z          7302.803810369783    All      -0.00013969823820581464    -3.730203732017739e-05     -0.0005574731829092322     8.476343591880274e-06      
MWEBV         All|All|All               All                  All      -0.48100645214647564       -3.0305300683009406        0.06569082331916443        -0.827532238879394         
Redshift      All|All|All               All                  All      4.399436762916519          0.6562388516567097         0.11006594460531982        -1.2143709696576157        
