#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4546.937822660904    All      1.802137042616962         0.6148753906929372        0.7859948943030329        -0.35165483759104543      
Zeropoint     AB|MEGACAMPSF|r           3718.749761571287    All      -1.9904685966255011       0.24450745348278957       -0.4689240178163153       0.7070793028232755        
Zeropoint     AB|MEGACAMPSF|z           5239.22230483426     All      1.1897842286318931        0.13969126686301792       -0.31581395021913194      -0.3561431507976861       
Check         All|All|All               All                  All      1.001452674623354         0.9990741110387447        0.0012569262675856674     -0.0007186855654560675    
Lambda        AB|MEGACAMPSF|i           4546.937822660904    All      -0.0005405908102907766    -0.0002259924508435026    -0.0030520843151431378    -3.37254696180247e-05     
Lambda        AB|MEGACAMPSF|r           3718.749761571287    All      -0.002975797565189202     0.00030320439756036186    -0.001832054307286252     0.0009863226458147712     
Lambda        AB|MEGACAMPSF|z           5239.22230483426     All      0.00023573278289301309    2.5871637230027703e-05    -5.711817057569848e-05    -7.090760098757527e-05    
MWEBV         All|All|All               All                  All      -0.1605285602760531       -1.9721809683636238       -0.01418744976731263      -0.5907479116305188       
Redshift      All|All|All               All                  All      9.238526580994522         0.863453230300415         5.407493471769413         -2.4867253241243317       
