#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7555.237117019697    All      0.6717790817934816         0.062421291847414295       1.2039627441281424         -0.14476055179169764      
Zeropoint     AB|PS|PS_g                4273.99037322462     All      -0.5904298200364854        0.7997642157139495         0.5152293539706773         0.4758242531740774        
Zeropoint     AB|PS|PS_i                6574.093118737071    All      1.1548990491353335         -0.2910580281969999        -0.8219895358620877        -0.5076774083861366       
Zeropoint     AB|PS|PS_r                5427.677630240422    All      -0.24042591365997268       0.4314215888310713         -0.8837211346658396        0.17940641923186448       
Check         All|All|All               All                  All      0.9958223972323572         1.0025490681954352         0.013481427570892546       0.002792712228107591      
Lambda        AB|PS|PS_z                7555.237117019697    All      -1.160124253267664e-06     -0.00010599430924191688    -0.00041731667567427037    -5.277086956222289e-05    
Lambda        AB|PS|PS_g                4273.99037322462     All      -0.000496699875549012      0.0006505647521915188      0.00032990395405101873     0.00038842393141547897    
Lambda        AB|PS|PS_i                6574.093118737071    All      -0.00024400289035818372    -0.00016578898727348556    -0.0006890923755943458     -5.274186440302012e-06    
Lambda        AB|PS|PS_r                5427.677630240422    All      -0.0001176571552088028     0.00024140518222593354     -0.00037812566933781406    0.00010008440414835694    
MWEBV         All|All|All               All                  All      -0.5299764791559047        -3.467694270029398         0.17091925673489278        -0.9492839911077566       
Redshift      All|All|All               All                  All      3.296331887465988          0.3717471585972021         -1.5590922918396246        -1.0222085905051514       
