#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5944.327418321535     All      1.0442629822846146         0.1433080696314093         -1.656430279825513        -0.3673895312668732       
Zeropoint     AB|SDSS|SDSS_r            4901.831476647126     All      0.9736342361085644         0.3895250062555533         2.0359940704385537        -0.09940652840486293      
Zeropoint     AB|SDSS|SDSS_g            3751.3029102633845    All      -1.1672014789884422        0.4673991259089405         -0.8215071481528453       0.4957831028014472        
Zeropoint     AB|SDSS|SDSS_z            7067.309789259799     All      0.14587749118937177        -0.0019559109423639143     0.4400292508100005        -0.02851771816637316      
Check         All|All|All               All                   All      0.9965732305941084         0.9982762908535392         -0.0019141067298041325    0.0004693249633379616     
Lambda        AB|SDSS|SDSS_i            5944.327418321535     All      -0.00017459346192908264    -2.3119033300771676e-05    0.00035449559744298097    6.515971513941347e-05     
Lambda        AB|SDSS|SDSS_r            4901.831476647126     All      -0.0001334358758120479     -7.221504692540186e-05     -0.0012018834301146225    -3.369289936125643e-05    
Lambda        AB|SDSS|SDSS_g            3751.3029102633845    All      -0.0019288600023739072     0.0006341661595426196      -0.002238468023715321     0.0007349693950057094     
Lambda        AB|SDSS|SDSS_z            7067.309789259799     All      -7.108295129172796e-05     1.1663679729371865e-06     -0.0002491567326735697    1.2415259572764203e-05    
MWEBV         All|All|All               All                   All      -0.5447857814926933        -2.997006667650659         0.09191126960357153       -0.7946674404632823       
Redshift      All|All|All               All                   All      6.492446286169284          -0.3899783429975656        15.417442651698693        -1.553822470972029        
