#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5944.327418321535     All      1.1512790043820476        0.13460158772709008        -1.3526496403143407       -0.3915278232501701       
Zeropoint     AB|SDSS|SDSS_r            4901.831476647126     All      0.905079803905402         0.37449941681959587        1.4988414400457284        -0.10594107811059977      
Zeropoint     AB|SDSS|SDSS_g            3751.3029102633845    All      -1.2038089265174257       0.49311190075709277        -0.42631450214933864      0.5337184822410616        
Zeropoint     AB|SDSS|SDSS_z            7067.309789259799     All      0.1417367254846014        -0.0033713490678266567     0.26746473005188065       -0.035330751314436616     
Check         All|All|All               All                   All      0.9942866072546255        0.998841556235952          -0.012657972366070247     0.0009188295658550602     
Lambda        AB|SDSS|SDSS_i            5944.327418321535     All      -0.0003644443754162163    -2.7242492111684567e-05    -0.0005284412834844351    8.62558395658515e-05      
Lambda        AB|SDSS|SDSS_r            4901.831476647126     All      -0.000197554156527566     -8.581506771443884e-05     -0.0020535403309331034    -5.524297606668014e-05    
Lambda        AB|SDSS|SDSS_g            3751.3029102633845    All      -0.002080376976309157     0.0005884660453553665      -0.002695018737967898     0.0007490636659814076     
Lambda        AB|SDSS|SDSS_z            7067.309789259799     All      -6.309110914550024e-05    -5.497918961235879e-06     -0.0002242721348064613    8.751761470937833e-06     
MWEBV         All|All|All               All                   All      -0.542021094777819        -2.996593934745384         0.09472795776408471       -0.795307853340028        
Redshift      All|All|All               All                   All      8.262191047913888         0.009340357433984536       25.397840438528153        -1.5548360099027836       
