#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.3229081436130349         0.49807978402522934       -0.27059261649911437      0.04498386057062404        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      1.2100740760904183         -0.06724720036039855      -0.04006285593645271      -0.41785338362023156       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -1.0725005574948292        0.7025717521568886        0.0069004447340260166     0.578507384553837          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      0.5371791221376767         -0.1354682653481376       0.3049163269147794        -0.20549636830569692       
Check         All|All|All                      All                  All      0.9976607843463006         0.9979360704735818        0.0011612992132383204     0.00014149319853254405     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      1.4036786144891087e-05     0.0001377865244850308     -0.001586926113079249     -3.0507862915868868e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      -0.0002329873926164046     3.7517605625888964e-05    -0.0010112289859125706    4.2985872043085145e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.0006331379338477433     0.00025882297971299234    -0.0008261235215646675    0.00025367491566982936     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      -0.00014572543843358434    6.126116829176745e-05     -0.0007204095037026827    3.527378003846392e-05      
MWEBV         All|All|All                      All                  All      -0.8264059440217721        -3.942225132816901        0.031626014507834345      -1.0135134934226566        
Redshift      All|All|All                      All                  All      7.839148092021439          -2.1806542028874887       18.358085178089002        -2.444542223293399         
