#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      0.14969508832632583        0.5340527569938303        -0.607596278350786        0.09808370636268625        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      1.161330051665887          -0.016721673643971258     -1.0375310636593582       -0.4300304498472933        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.937529943459433         0.6725337820382649        0.8803047653016316        0.5637346834996813         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      0.6292114077362466         -0.1924879061249385       0.9015641254976448        -0.22742183344234781       
Check         All|All|All                      All                  All      1.0027066042690265         0.9973769592631854        0.13674154878913214       0.00436610657272643        
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5307.820966107508    All      -1.5239841386377977e-05    0.0001499074696292671     -0.0017565389007315774    -2.4592351265335847e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6011.511540702419    All      -0.00015288684037886017    4.266129437144907e-05     -0.0007274347893715445    3.1234387168210956e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4235.46640884478     All      -0.000667292600804595      0.00028577104751641874    -0.0009101625548369002    0.0002698278105238953      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7294.827695832841    All      -7.646876886963972e-05     3.063809786232082e-05     -0.000331445425962785     2.009734311891173e-05      
MWEBV         All|All|All                      All                  All      -0.8063816710294001        -3.95154667089459         0.1466473516123834        -1.0179395155356006        
Redshift      All|All|All                      All                  All      7.574221221669671          -2.382724669102476        16.52238463037725         -2.5059867089284897        
