#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K4_V
@MAGSYS  Linear_AB11_off
55829.25  15.757  0.023
55831.24  15.679  0.012
55833.3  15.653  0.009
55835.22  15.649  0.025
55837.25  15.663  0.012
55841.23  15.778  0.01
55844.22  15.875  0.068
55847.24  16.04  0.077
55850.2  16.242  0.018
55852.19  16.358  0.014
55854.18  16.447  0.014
55856.18  16.541  0.018
55858.19  16.636  0.016
55864.16  16.937  0.019
55867.14  17.128  0.058
55873.15  17.47  0.038
55890.14  17.93  0.045
55895.09  18.065  0.036
55900.12  18.219  0.047
