#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7767.657585194399    All      0.4372996896646549         -0.09043408184297164      0.26791839041368753        -0.1599442840459125        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4385.084491473631    All      -1.1276714170893753        0.7932218655823497        0.11377599072855428        0.6307754375900773         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6269.180898695887    All      1.321816704289352          -0.1481981942458077       0.09428517975953482        -0.47462469997006634       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5303.354206938581    All      0.36756485106503606        0.44335681166813856       -0.47213898561535295       0.0036185405777847458      
Check         All|All|All                       All                  All      0.9990098279296676         0.997946401161709         0.0038405752864236753      -0.00017500584811682698    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7767.657585194399    All      -4.4382385520511114e-05    1.2178547132456499e-05    3.046284993185479e-05      1.978317364613411e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4385.084491473631    All      -0.0005875526368309697     0.00016979605388194467    -0.0012958809706805356     0.0001888641686415899      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6269.180898695887    All      -0.0003061575129699055     1.2380237876435294e-05    -0.00043232344410700126    8.446561531064548e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5303.354206938581    All      8.729803004302717e-05      7.149964873686536e-05     -0.001157829207336113      -5.681465234892811e-05     
MWEBV         All|All|All                       All                  All      -0.8168968497733933        -4.04199863184358         0.05935101886818848        -1.0478731897346074        
Redshift      All|All|All                       All                  All      4.287119527839025          0.14448862561859954       4.872503373415141          -1.1319537264047397        
