#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7767.657585194399    All      0.4623477720124862         -0.08399207898657224      0.45540120948857066       -0.15763839912023594       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4385.084491473631    All      -1.1249105110323434        0.7979148845496553        0.22456960658894243       0.636349000548757          
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6269.180898695887    All      1.2653770369868107         -0.13276204096612787      -0.0706469235396856       -0.45857254282666954       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5303.354206938581    All      0.3964934681051264         0.4169575070283926        -0.600903479694459        -0.02014975172471489       
Check         All|All|All                       All                  All      0.9993077660720798         0.9981182716253478        0.008420412843368474      -1.1693122863361965e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7767.657585194399    All      -1.4619951768324672e-05    1.1099783843100134e-05    9.322357513855321e-05     1.2537904040849055e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4385.084491473631    All      -0.00048398191952184335    0.0001438970180926425     -0.000804296178927083     0.00016862878211774447     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6269.180898695887    All      -0.00039687021425125184    -5.779675943882939e-07    -0.0008008755431599347    9.334602516089658e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5303.354206938581    All      -2.4428728779951118e-05    8.328274891517607e-05     -0.0015969194275275045    -3.617800777724461e-05     
MWEBV         All|All|All                       All                  All      -0.8211356133685048        -4.038577834648827        0.09670267744543715       -1.0437113858209437        
Redshift      All|All|All                       All                  All      4.0086882364248675         0.2244635227767411        3.0460302475421086        -1.096716146493439         
