#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5322.732378352595     All      0.4638052317970817         0.36934224019358197       -0.7677511651839164       -0.06503091245397274      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6314.950916812717     All      1.2175320070991362         -0.08403482940728679      0.17839274411169947       -0.4160022900857069       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.3949082584495    All      -1.084504422273307         0.7636254444886248        0.11064289556479423       0.6069341835356054        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7808.357793581028     All      0.40231447776471146        -0.051457191390902324     0.47686720492350343       -0.12652796810459083      
Check         All|All|All                       All                   All      0.9991472943876226         0.9974756638840176        -0.0018483205839192607    -0.0006269871086651002    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5322.732378352595     All      -7.131627562390644e-05     -8.322643886547547e-06    -0.0016659409102277474    -5.382419314783145e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6314.950916812717     All      -0.0004258975829267632     8.248544967350472e-06     -0.0004933397815755444    0.00011940018821441827    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.3949082584495    All      -0.0003622231827363154     1.2458318841990047e-05    -0.0016060615781823195    5.0374939859064384e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7808.357793581028     All      -1.8483539605659654e-05    4.6555962917565945e-06    2.632844189387363e-05     8.712095256311706e-06     
MWEBV         All|All|All                       All                   All      -0.8314648992155429        -4.01084273510488         0.12241472554682664       -1.0301651526024178       
Redshift      All|All|All                       All                   All      4.447614283254912          0.7656977171408563        8.476867289544431         -0.8210377027512927       
