#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5322.732378352595     All      0.40976217490342737        0.3551770509221619        -0.6804699393965707       -0.04814641878781618      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6314.950916812717     All      1.2367979115739187         -0.08949903700115058      0.08305259451954598       -0.42831229417781486      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4318.3949082584495    All      -1.0737049193607873        0.7935507344592807        0.19614194921946407       0.6169795116818029        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7808.357793581028     All      0.4257857335390027         -0.06092774449264482      0.40629364548865565       -0.14040757283377905      
Check         All|All|All                       All                   All      0.9986409006555613         0.9983010038876472        0.00501824983109489       0.0001132258823927923     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5322.732378352595     All      4.776944171869696e-05      1.6658470015234163e-05    -0.001273238497991296     -6.695265339683075e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6314.950916812717     All      -0.00035263875705626783    4.112030998791502e-06     -0.0004167543561374576    9.760763559095364e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4318.3949082584495    All      -0.0005026044190782931     0.00010595890546495656    -0.0016592639408335305    0.0001241837669866632     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7808.357793581028     All      -2.866558453609069e-05     6.863525448352767e-06     2.3645233992350345e-05    1.2628178189379628e-05    
MWEBV         All|All|All                       All                   All      -0.8231180311462349        -4.015389658901114        0.1083489497747738        -1.0349927757771125       
Redshift      All|All|All                       All                   All      4.229710434780975          0.24271701817895064       7.130170656189414         -0.9805081552782001       
