#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.540532080438    All      0.5829246411890052         0.4762047410835635         0.210316383140864          -0.025376728213401742     
Zeropoint     AB|CNIa02|SDSS_r                      6138.862751596259    All      1.0953507935086997         -0.13407784149914725       0.00037566263109339767     -0.40044858932488187      
Zeropoint     AB|CNIa02|SDSS_i                      7444.444050244401    All      0.4603308173145896         -0.11786982340762364       0.010760331537803074       -0.18785878674317077      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.967682567963    All      -1.14086744038232          0.7740651799787557         -0.22041980900746092       0.6139202301391055        
Check         All|All|All                           All                  All      0.9977388116299745         0.9983222561555483         0.001032568302299558       0.00023612585765109273    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.540532080438    All      4.556668082644874e-05      -0.00010589456831787995    -0.001109050587668443      -9.88277458159301e-05     
Lambda        AB|CNIa02|SDSS_r                      6138.862751596259    All      -0.00011799911598091485    -3.911421567981018e-05     -0.00039478290675602675    8.0780593079899e-06       
Lambda        AB|CNIa02|SDSS_i                      7444.444050244401    All      -6.981266148408069e-05     -1.3300423772651188e-05    -0.00019402110246746193    9.7496243235789e-06       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.967682567963    All      -0.00045138934627132326    0.000175187034851925       -0.000776889901129304      0.00016942751292134647    
MWEBV         All|All|All                           All                  All      -0.9017470795790357        -4.075723894937644         2.652046812098583e-05      -1.03386748601123         
Redshift      All|All|All                           All                  All      4.58308086696792           -0.2821129429774416        0.9929011325301179         -1.5404450667064284       
