#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.540532080438    All      0.6469768120383601         0.39853919199366317        0.08305755351554756        -0.07721782905963093       
Zeropoint     AB|CNIa02|SDSS_r                      6138.862751596259    All      1.1155591637301028         -0.111770298520808         0.04957825749947187        -0.3975691338675841        
Zeropoint     AB|CNIa02|SDSS_i                      7444.444050244401    All      0.4263147121823864         -0.09629318206982873       0.03065112103112222        -0.16886276569086367       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.967682567963    All      -1.1906980850677344        0.8075894596304867         -0.16260877564120424       0.6436515121939337         
Check         All|All|All                           All                  All      0.9981526028831147         0.9980651710335131         0.0006781564049374023      1.7835758550077685e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.540532080438    All      1.3162044328252e-05        -0.00016842495990144132    -0.0012399907574631996     -0.00011448395374662921    
Lambda        AB|CNIa02|SDSS_r                      6138.862751596259    All      -0.00022985783525817895    -2.799069282212042e-05     -0.00044599402889178443    4.585210439019025e-05      
Lambda        AB|CNIa02|SDSS_i                      7444.444050244401    All      -8.610530675889158e-05     -4.165063737112446e-06     -0.00015897539331164297    1.9596291250190242e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.967682567963    All      -0.0003424641922449444     6.695964421782475e-05      -0.0009090874135950959     9.279441719877557e-05      
MWEBV         All|All|All                           All                  All      -0.9112359167865587        -4.06917512768965          0.00946183350613028        -1.0282224559324926        
Redshift      All|All|All                           All                  All      4.702253928920949          0.396357524679658          0.9583527712896944         -1.359805236017786         
