#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6203.5502562489455    All      1.2589066043460646         0.06020417550747226        0.42420062533931036        -0.3715266915853768        
Zeropoint     AB|SDSS|SDSS_g            3914.8913733293043    All      -0.9347465436666725        0.5813296392036094         0.16367938247844174        0.5011401492735598         
Zeropoint     AB|SDSS|SDSS_r            5115.592694190753     All      0.5232384339204637         0.34475049772950683        -0.7791225814319525        -0.09290805532479945       
Zeropoint     AB|SDSS|SDSS_z            7375.504135088983     All      0.15009664064507836        0.012566578427275488       0.19379612381968947        -0.036149834936320985      
Check         All|All|All               All                   All      0.997495135244934          0.9988508908678639         0.0025535502054890857      0.0005555674270625033      
Lambda        AB|SDSS|SDSS_i            6203.5502562489455    All      -7.444749442615196e-05     -3.376665824861835e-05     -0.00029754498202797327    -2.6979270455611703e-08    
Lambda        AB|SDSS|SDSS_g            3914.8913733293043    All      -0.000982783135869141      0.00036166401240841087     -0.0012301400961720343     0.0003830351645283333      
Lambda        AB|SDSS|SDSS_r            5115.592694190753     All      3.685993378309076e-05      7.886670040378873e-05      -0.0013650741793479067     -4.7234005195428427e-05    
Lambda        AB|SDSS|SDSS_z            7375.504135088983     All      -2.2085022580373446e-05    -1.3514793654714506e-06    -2.664628106952474e-05     5.564495996214042e-06      
MWEBV         All|All|All               All                   All      -0.565866915980012         -3.190099011665204         0.10032909562954295        -0.8503215014931415        
Redshift      All|All|All               All                   All      4.594671499581925          0.6676977585948762         1.7243577712511198         -1.2021943733959757        
