#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6203.5502562489455    All      1.2550005155845734         0.08603892981700056       0.562596506225994          -0.3556631480177888        
Zeropoint     AB|SDSS|SDSS_g            3914.8913733293043    All      -0.8525372712223935        0.5627334321873789        0.24808973692177702        0.4720713346475752         
Zeropoint     AB|SDSS|SDSS_r            5115.592694190753     All      0.46085619670733496        0.33656480252535204       -0.9989601334378525        -0.08506479884787255       
Zeropoint     AB|SDSS|SDSS_z            7375.504135088983     All      0.13406319673305578        0.013885729926066404      0.192435393619015          -0.03055824686683528       
Check         All|All|All               All                   All      0.9973826378025705         0.9992228944557979        0.00416150332893353        0.000785140915078586       
Lambda        AB|SDSS|SDSS_i            6203.5502562489455    All      -1.9935545500142735e-05    -2.978609851921237e-05    -0.00026349334445615154    -1.4967146973798826e-05    
Lambda        AB|SDSS|SDSS_g            3914.8913733293043    All      -0.0009835425671064753     0.00040446878297124936    -0.001178807173433331      0.0003995162108525597      
Lambda        AB|SDSS|SDSS_r            5115.592694190753     All      -3.367806874463624e-05     9.329836161524506e-05     -0.0015220356026495086     -2.6561057720879934e-05    
Lambda        AB|SDSS|SDSS_z            7375.504135088983     All      -1.971301894724383e-05     -7.763682344252074e-07    -1.7997563139677282e-05    5.365141551362488e-06      
MWEBV         All|All|All               All                   All      -0.5611490693201406        -3.191536098152703        0.10657503663249607        -0.8520476380501337        
Redshift      All|All|All               All                   All      4.916895228726835          0.6295232085056668        3.5453894596177227         -1.238323669137961         
