#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|SDSS|SDSS_i            6983.414356169298    All      0.8381497195267053         0.07083653422661484        1.0645492591309753        -0.20243320416910318     
Zeropoint     AB|SDSS|SDSS_r            5758.686878524239    All      0.556844221227004          0.10572697717439183        -1.8554945184738658       -0.22974592608584102     
Zeropoint     AB|SDSS|SDSS_u            3351.496420057686    All      -0.22248265855423083       0.1419399841974922         0.16656472785627002       0.12613746269317005      
Zeropoint     AB|SDSS|SDSS_g            4407.04233705721     All      -0.39625575346156383       0.6667235519571157         0.2616769344052008        0.3579247704990854       
Zeropoint     AB|SDSS|SDSS_z            8302.697541473663    All      0.21708859720040363        0.015451173713110222       0.3761084530771454        -0.048895949646815796    
Check         All|All|All               All                  All      0.9933441259383183         1.0006782212687249         0.013404855995725773      0.0029871532904954465    
Lambda        AB|SDSS|SDSS_i            6983.414356169298    All      -0.0005981784949425837     -3.5966033080907175e-05    -0.0006683584552373899    0.00015330532687106      
Lambda        AB|SDSS|SDSS_r            5758.686878524239    All      -0.00013561460449991068    -6.43599087161848e-06      0.0007839307672268187     7.706095398643856e-05    
Lambda        AB|SDSS|SDSS_u            3351.496420057686    All      -0.00020118331701794799    9.362964748123377e-05      -0.0001127875022538433    9.099709338449681e-05    
Lambda        AB|SDSS|SDSS_g            4407.04233705721     All      -0.0001106466637614402     2.2363463387603777e-05     -0.0006191814544004243    1.569454980331787e-05    
Lambda        AB|SDSS|SDSS_z            8302.697541473663    All      -3.254452601026121e-05     -5.649018464400512e-06     -8.897720897767639e-05    4.790107464468742e-06    
MWEBV         All|All|All               All                  All      -0.8878576067249311        -3.6259301158121815        0.40175766660847445       -0.8739516966651105      
Redshift      All|All|All               All                  All      7.560161599341259          0.5839739782747877         -2.286718644074854        -2.374419568503168       
