#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6983.414356169298    All      1.2063547351310566         -0.02669263169483571      1.4946945448325033        -0.3349427407764949       
Zeropoint     AB|SDSS|SDSS_r            5758.686878524239    All      0.4819636534058964         0.02623534965700003       -2.2568715167029905       -0.2491595119013701       
Zeropoint     AB|SDSS|SDSS_u            3351.496420057686    All      -0.048222472304160546      0.024600616146308596      -0.028087326104395127     0.022467467353148862      
Zeropoint     AB|SDSS|SDSS_g            4407.04233705721     All      -0.9074226691917735        0.9842591372676068        0.360382431213474         0.6322652115751226        
Zeropoint     AB|SDSS|SDSS_z            8302.697541473663    All      0.2650917956262724         -0.00701737316681772      0.4547930624733937        -0.06833958281245445      
Check         All|All|All               All                  All      0.9977650426672913         1.001385098209262         0.024911195711985412      0.0022908434379520504     
Lambda        AB|SDSS|SDSS_i            6983.414356169298    All      -0.0006911472784568203     6.715338464201587e-05     -0.0004374403678802371    0.00022748251879454195    
Lambda        AB|SDSS|SDSS_r            5758.686878524239    All      3.924941475426137e-05      -2.595449997756437e-06    5.246633218776017e-05     -1.128891766849989e-05    
Lambda        AB|SDSS|SDSS_u            3351.496420057686    All      -1.5886270756286196e-05    3.1087012581829264e-05    0.00016791900991466795    2.2794197946718233e-05    
Lambda        AB|SDSS|SDSS_g            4407.04233705721     All      -0.0005486238073155959     0.0004648768465150971     -0.0004556669592185836    0.00030979618254649744    
Lambda        AB|SDSS|SDSS_z            8302.697541473663    All      -1.4660798999806915e-05    9.359445596772546e-07     -1.535879205319328e-05    4.394980145992407e-06     
MWEBV         All|All|All               All                  All      -0.669065936441827         -3.781143027187994        0.1831541633081052        -1.0055325636393997       
Redshift      All|All|All               All                  All      6.2343924867123865         -1.450899914342152        -8.367489586667437        -2.8767552033967356       
