#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4323.323687013199     All      -0.6432777459533602        0.5170962721329886         -0.12935342806346853      0.37219954346633666        
Zeropoint     AB|MEGACAMPSF|g           3393.813053734206     All      -0.6223550542240033        0.13900117105904997        -0.2013845652389834       0.2390119022297435         
Zeropoint     AB|MEGACAMPSF|i           5281.63702107282      All      2.209899895143371          0.35913663234605764        0.9260157796118464        -0.5615306517884333        
Zeropoint     AB|MEGACAMPSF|z           6089.1783234288205    All      0.03803309758027065        -0.014013995548722846      -0.5987044360463332       -0.04367087976134891       
Check         All|All|All               All                   All      0.9823001925462779         1.0012200799893733         -0.003426649736938625     0.006009914146297993       
Lambda        AB|MEGACAMPSF|r           4323.323687013199     All      -0.00026854083858475226    -8.463286763427652e-05     -0.0016136034626761297    -1.2102834995489913e-05    
Lambda        AB|MEGACAMPSF|g           3393.813053734206     All      -0.0012518665259416944     0.00023341469398510214     -0.0007865528593581965    0.00044870471602434        
Lambda        AB|MEGACAMPSF|i           5281.63702107282      All      0.0007969501237993172      1.0943620423923787e-05     -0.0008409421249633247    -0.0002935555617248759     
Lambda        AB|MEGACAMPSF|z           6089.1783234288205    All      -1.7198712516485878e-06    -4.3091885715955266e-08    3.447642989980695e-05     2.0847069258000605e-06     
MWEBV         All|All|All               All                   All      -0.43237125738094573       -2.460392229203734         -0.001711525237384553     -0.660669527941469         
Redshift      All|All|All               All                   All      0.3716570178204337         -0.19911949106514726       -3.0428612243253492       -0.3217096080189426        
