#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4323.323687013199     All      -0.5865722388018381        0.5169208786046653         0.017472200807988614       0.3602237162596736        
Zeropoint     AB|MEGACAMPSF|g           3393.813053734206     All      -0.66214107452184          0.13288312228869614        -0.29594603243516815       0.24575882422375184       
Zeropoint     AB|MEGACAMPSF|i           5281.63702107282      All      2.214672530461141          0.3488343133570382         0.788766267414287          -0.5725658757225881       
Zeropoint     AB|MEGACAMPSF|z           6089.1783234288205    All      0.015137519995999868       0.0029405936235349373      -0.5150619677267265        -0.02695779021206074      
Check         All|All|All               All                   All      0.9810967371334628         1.0015789078739346         -0.004769531939619043      0.0064588745487765276     
Lambda        AB|MEGACAMPSF|r           4323.323687013199     All      -0.0003363447244145734     -4.5475933944800356e-05    -0.0015193204830175897     2.6945239184483136e-05    
Lambda        AB|MEGACAMPSF|g           3393.813053734206     All      -0.0013120096304223383     0.00021363388383908915     -0.0009973096663037867     0.00045244693484619173    
Lambda        AB|MEGACAMPSF|i           5281.63702107282      All      0.0010319081283523194      3.7294924641261844e-05     -0.0010191372710669814     -0.0003694576579306951    
Lambda        AB|MEGACAMPSF|z           6089.1783234288205    All      -1.1934859016846517e-05    1.5586973491230985e-06     -2.7392084351640786e-05    3.172912315894081e-06     
MWEBV         All|All|All               All                   All      -0.4422530831852507        -2.458952382070123         -0.019213891719327414      -0.6577627368242411       
Redshift      All|All|All               All                   All      0.5812633702036767         -0.29107713884375386       -0.21000988132959808       -0.29352177941028845      
