#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5500.245752613988    All      -1.9991036719227204       2.323497834952093        -0.348465286446184         1.3924631148637414        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6586.549727144517    All      2.995972971367349         -1.31779326007333        0.3525452091984946         -1.3894031067688877       
Check         All|All|All                            All                  All      0.9968692994446285        1.005704574878763        0.004079922752310561       0.003060008094853739      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5500.245752613988    All      -0.0002997191655848421    5.976227699040139e-05    -0.0010580671965839136     6.987825297825646e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6586.549727144517    All      -0.0010256910236437398    0.0003580413598252901    -0.0007519460373879455     0.00041717126265370725    
MWEBV         All|All|All                            All                  All      -0.5652905157752364       -3.2164246309182687      -5.3586486444832804e-05    -0.8635639923425652       
Redshift      All|All|All                            All                  All      11.191199168977425        -1.585048154590396       7.52690777883545           -3.8257527550056563       
