#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5334.33282006332     All      -0.06321048362534815       0.024969624793058642      -0.7330971654342608        -0.003991597148562529     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6328.713814288928    All      0.21229823958917704        -0.1516116304805415       -1.1478347588383164        -0.16976001043340974      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4350.380739282504    All      -0.9154454589863592        0.666399401826645         0.003575880056473507       0.5154184874204368        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7825.375444103776    All      0.09699298435945555        -0.04639309334466546      -0.1488716989149362        -0.05334902294966361      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7844.713827586353    All      0.31858073419122773        -0.043240807776978585     0.2817105665550905         -0.10528573105868368      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4327.80648202475     All      -0.18630586630161378       0.08463968966854196       -0.22516793586708944       0.07820767060467898       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5334.350484663159    All      0.49111684251401205        0.48384266302088363       1.0690276762319906         0.04533635574939878       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6328.285458505943    All      1.0427169124233993         -0.02034601147054005      0.9058122210432168         -0.305852328863524        
Check         All|All|All                       All                  All      0.9967439041639506         0.9982598362364037        0.00515478483216858        0.0007238233206710576     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5334.33282006332     All      -6.333396579418491e-05     2.402866222281668e-05     -0.0007723849908395738     -6.011112614990232e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6328.713814288928    All      -2.0464738467054914e-05    1.2570661968699065e-05    9.071140424212336e-05      1.480875010323286e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4350.380739282504    All      -0.00040824092119593543    0.00012032123663243517    -0.0006942765136309811     0.0001411877118765232     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7825.375444103776    All      -2.1249594571710825e-05    1.014777015352271e-05     3.233203452438295e-05      1.166998483878632e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7844.713827586353    All      -1.3659105754878468e-06    2.324718659500304e-06     2.85554025468775e-05       2.4764558253779703e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4327.80648202475     All      -0.0001760701462658251     8.0251998395825e-05       -0.00021380837448749414    7.395126949734965e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5334.350484663159    All      4.82634299108811e-05       6.913586410128854e-05     -0.00015985139700517334    -3.345951789255082e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6328.285458505943    All      -0.0003116744552347548     -4.329378636001959e-06    -0.00043646311451407774    8.063505860271147e-05     
MWEBV         All|All|All                       All                  All      -0.8224243871329655        -4.037944318621189        0.03252834246211185        -1.0459490386224477       
Redshift      All|All|All                       All                  All      4.165070001020306          -0.4870144059846204       -1.2541818405545575        -1.5713053156875898       
