#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5334.33282006332     All      -0.11549444611145744       0.013223813838081355      -0.7308740366786859        0.009312220496598966      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6328.713814288928    All      0.08014579053446169        -0.14336601584110653      -1.404766521195061         -0.13549342663820574      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4350.380739282504    All      -1.019831831057472         0.7322419790635415        -0.12687950592480957       0.5650460318597117        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7825.375444103776    All      0.09934019325890572        -0.06437381801491782      -0.2854011199920292        -0.06606318068818617      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7844.713827586353    All      0.42805305180044184        -0.06566648530279551      0.4392596030693474         -0.14121855748623346      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4327.80648202475     All      -0.1423625960116976        0.05672426264480279       -0.22220884048616552       0.05493297964491717       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5334.350484663159    All      0.40865591465334306        0.5230363172946007        1.0957487205797312         0.08615569295136183       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6328.285458505943    All      1.227109006584478          -0.04361202963334421      1.2148085698457822         -0.3597043199182248       
Check         All|All|All                       All                  All      0.9656150836510033         1.0082080240488622        -0.020313130781889788      0.012967440221739457      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5334.33282006332     All      -0.00014212900153031134    9.747302131720006e-06     -0.0009964202964235546     5.005447248209889e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6328.713814288928    All      5.806458033698038e-06      -7.190695063731179e-06    -4.260742280741061e-05     -6.134973948548688e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4350.380739282504    All      -0.0005768207188004695     0.00030604210345683194    -0.00048022148745650964    0.0002661473871256546     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7825.375444103776    All      -1.73895962318881e-05      1.0690157188810243e-05    3.622281864669861e-05      1.076295751638308e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7844.713827586353    All      7.490326512861866e-06      1.300961789226968e-06     3.3769124230785376e-05     -5.091187960968409e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4327.80648202475     All      -0.0001645954655020891     6.432972111244755e-05     -0.00025748144384185655    6.307825042612453e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5334.350484663159    All      0.0001598226654625371      0.0001880212379217272     0.000164765859874396       1.6537946339407934e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6328.285458505943    All      -0.00026790261687295884    -6.751857402392879e-06    -0.0004894560011714074     6.322322062217693e-05     
MWEBV         All|All|All                       All                  All      -0.8177639941805475        -4.042886910204846        0.043279875677509905       -1.0485972550672573       
Redshift      All|All|All                       All                  All      3.3099799066593834         -1.4853319095368356       -2.7413240841389905        -1.684323523036893        
