#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8289.063052723377     All      0.09330167872775247        -0.008563731441313394      0.0029993806207218032      -0.03304706678307068       
Zeropoint     AB|SDSS|SDSS_r                           5749.230102450023     All      0.23455773878531605        0.02980236087779531        -1.0426735553395905        -0.11322529478470511       
Zeropoint     AB|SDSS|SDSS_i                           6971.946362303189     All      0.3308269456866467         -0.039297656627823585      -0.10766094870514609       -0.12536617338341216       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4096.8982296826625    All      -0.29561057773020033       0.21828337582157076        0.1108161691725007         0.1723373839506201         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5004.690848610598     All      0.18865995289806892        0.3027437082804951         0.6462470821079258         0.06599987154111142        
Zeropoint     AB|SDSS|SDSS_g                           4399.8051989022315    All      -0.21843607219236147       0.12996321940299538        -0.3596967741882451        0.09743349626435416        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4475.477525981913     All      -0.27969597609660857       0.2525540275538418         -0.0021953287937526156     0.17327336925267306        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3348.084110326258     All      -0.06290727496357473       0.03352438645478628        0.04773799998161188        0.03354129231786379        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7083.191543302392     All      0.4524259936062136         -0.022041022330299143      0.5490312109115214         -0.13004877525786135       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5793.296082046754     All      0.6282584658279375         0.06394275769210367        0.20123039119447905        -0.1748362034339382        
Zeropoint     AB|SDSS|SDSS_u                           3345.992673834529     All      -0.07630566489690045       0.03644762328036677        -0.04468850922922374       0.03473321251233341        
Check         All|All|All                              All                   All      0.9950752096522898         0.997359048964519          0.0011471177328026272      0.0007951121959684504      
Lambda        AB|SDSS|SDSS_z                           8289.063052723377     All      2.7746104307713874e-06     -1.4169573093952586e-06    2.2794128010816342e-05     -3.4813426797550704e-07    
Lambda        AB|SDSS|SDSS_r                           5749.230102450023     All      -6.599806070504489e-05     -1.9594127834059723e-05    -0.00020598000318275297    5.923346070015639e-06      
Lambda        AB|SDSS|SDSS_i                           6971.946362303189     All      -0.00021439049048135506    9.776511057395907e-06      -0.000284382267747319      6.032789278741637e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4096.8982296826625    All      -0.00027258395221104695    0.00015058900189932314     -0.00015340532949489107    0.00013099557784025082     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5004.690848610598     All      -0.00013978005815700226    2.7056531035983534e-05     -0.0006002903695612903     2.755596370133193e-05      
Lambda        AB|SDSS|SDSS_g                           4399.8051989022315    All      -0.00013196106516836766    4.8081200561371163e-05     -0.00031933142629798683    4.4395394243294665e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4475.477525981913     All      -0.00020245376547291596    5.481401053191343e-05      -0.0005517829667587625     5.9177038944260244e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3348.084110326258     All      -0.0001419430810211131     7.49844906340592e-05       0.00010901439043107497     7.552525835316924e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7083.191543302392     All      -0.00026047848494849523    5.496157505300459e-06      -0.0005312150204992002     6.293100477049032e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5793.296082046754     All      -7.364973012188889e-05     -1.744208235017356e-05     -0.00032294806564692224    3.896991132927357e-06      
Lambda        AB|SDSS|SDSS_u                           3345.992673834529     All      -6.5317788646014e-05       3.205154723247617e-05      -1.5340994179606697e-07    3.1709550070509484e-05     
MWEBV         All|All|All                              All                   All      -0.839670556856078         -3.702652365683079         0.027933060681734068       -0.9313208402324441        
Redshift      All|All|All                              All                   All      7.501941233421757          -0.05099713845062581       9.188649861027208          -2.0501932706552624        
