#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z                           8289.063052723377     All      0.09249678341521038        -0.007968825074300412      0.015349189244683443       -0.03203999008566422      
Zeropoint     AB|SDSS|SDSS_r                           5749.230102450023     All      0.29329102108949795        0.04503595911948821        -0.8029687392177287        -0.11669764796183668      
Zeropoint     AB|SDSS|SDSS_i                           6971.946362303189     All      0.30956983425177836        -0.033729759928391445      -0.09107147469878413       -0.1158880736853105       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4096.8982296826625    All      -0.3007557690816504        0.20412550096562398        0.018540326809141274       0.16528380938766346       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5004.690848610598     All      0.2167545136707765         0.2943115266059948         0.5790642573330159         0.05110384892177248       
Zeropoint     AB|SDSS|SDSS_g                           4399.8051989022315    All      -0.20632737407548407       0.13237612322676284        -0.2981671832771596        0.09702104012810296       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4475.477525981913     All      -0.24554614551223264       0.22855401249834983        -0.033890564447874715      0.15291763865837904       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3348.084110326258     All      -0.0734724928553187        0.03714488723804976        0.0469221347405022         0.03812563926801865       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7083.191543302392     All      0.39468863477638405        -0.015765392280897572      0.4203438112767589         -0.11494036642096601      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5793.296082046754     All      0.6082477554539304         0.06902795127228245        0.18634647476092034        -0.16732584271641754      
Zeropoint     AB|SDSS|SDSS_u                           3345.992673834529     All      -0.09369045062585564       0.04402967888932352        -0.037907148822589234      0.04316835509006008       
Check         All|All|All                              All                   All      0.9952563105070361         0.997141662532286          0.0025610837008857162      0.000728410583801721      
Lambda        AB|SDSS|SDSS_z                           8289.063052723377     All      -2.822042599636702e-07     -1.9649599844135134e-06    1.4718520080026866e-05     1.0869105098170612e-07    
Lambda        AB|SDSS|SDSS_r                           5749.230102450023     All      -9.563124250744152e-05     -1.4554990978628631e-05    -9.369903748560159e-05     2.2227844753513183e-05    
Lambda        AB|SDSS|SDSS_i                           6971.946362303189     All      -0.00019898354441301777    7.205305723044322e-06      -0.00022855145391176127    5.6963290211775506e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4096.8982296826625    All      -0.0002557996334645665     0.00011477024599333704     -0.0002450745551583623     0.00010977024931635439    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5004.690848610598     All      -9.502967505051196e-05     -1.793233075793738e-05     -0.0006214269527197544     -2.618289325743248e-06    
Lambda        AB|SDSS|SDSS_g                           4399.8051989022315    All      -0.0001209538108857873     4.0267496293020575e-05     -0.0002909002999224063     3.953353944281375e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4475.477525981913     All      -0.00017918297860355033    3.202039078997804e-05      -0.000573242433620546      4.321470879072104e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3348.084110326258     All      -0.00019058480424255443    9.577127240099612e-05      0.00012179982863505017     9.871096194350243e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7083.191543302392     All      -0.00023309899273399884    3.3440863154258046e-06     -0.0004106830955687864     5.869038923664525e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5793.296082046754     All      -0.00011862429097528919    -1.46337277380475e-05      -0.0002546559760747863     2.2509021014656663e-05    
Lambda        AB|SDSS|SDSS_u                           3345.992673834529     All      -5.7887360723927504e-05    2.6316022683445237e-05     5.263455752239514e-06      2.7662696040856537e-05    
MWEBV         All|All|All                              All                   All      -0.8834218535122638        -3.6806171381396524        0.041517214441727054       -0.9092858065957238       
Redshift      All|All|All                              All                   All      7.446388320450827          0.4846579303983134         8.108755753075181          -1.9058080950753145       
