#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.221453602286    All      -0.6521860141249014        0.46674416269802954        -0.08576356708708266       0.36064513619934874       
Zeropoint     AB|CNIa02|SDSS_r                      6113.83001424045     All      0.6226397709217113         -0.07567509259640559       -0.2354510594335002        -0.23797122431938322      
Zeropoint     AB|PS|PS_g                            4843.055738419741    All      -0.4397341512708465        0.5387472984796915         0.17743192114284545        0.32664157099254326       
Zeropoint     AB|PS|PS_i                            7449.408310104309    All      0.20101682344793947        -0.03213228863874207       0.15230145679402396        -0.06914782166315969      
Zeropoint     AB|PS|PS_z                            8561.187854781592    All      0.18161441045470358        -0.04543748201548681       0.046900407532035615       -0.07186532138055424      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.339065998273    All      0.23674081106702427        0.2431518694624657         -0.27430992215456973       -0.010152899328903786     
Zeropoint     AB|CNIa02|SDSS_i                      7414.087480923588    All      0.2993732534013089         -0.06424403219762453       0.07819371734748559        -0.11495268609847814      
Zeropoint     AB|PS|PS_r                            6150.352012514195    All      0.5458979541879999         -0.03361628512905668       0.14542494469659273        -0.18227720582854184      
Check         All|All|All                           All                  All      0.9953628580849396         0.997538150062871          0.004727898837830757       0.0009195485728710762     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.221453602286    All      -0.00019589956453502973    4.680276243028272e-05      -0.0005825461796276821     5.305977210303584e-05     
Lambda        AB|CNIa02|SDSS_r                      6113.83001424045     All      -5.8660447582008e-05       -4.801393131672439e-05     -0.0004124423655856105     -1.493748788923291e-05    
Lambda        AB|PS|PS_g                            4843.055738419741    All      -0.00016923442378625624    1.7217036180435155e-05     -0.0007490621190221975     2.7306172527899135e-05    
Lambda        AB|PS|PS_i                            7449.408310104309    All      -3.521636267584114e-05     6.644108181855876e-06      -2.1533400783070416e-05    1.2674395749321291e-05    
Lambda        AB|PS|PS_z                            8561.187854781592    All      0.00015869716415757874     -4.0897468292965615e-05    3.4386645794660545e-05     -6.34800201878423e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.339065998273    All      3.4596808241059223e-06     -3.352905388105736e-05     -0.000761170351397266      -4.601598464058265e-05    
Lambda        AB|CNIa02|SDSS_i                      7414.087480923588    All      -5.861066763228768e-05     -1.315224426925832e-05     -0.00023652329067676265    4.252355876323411e-06     
Lambda        AB|PS|PS_r                            6150.352012514195    All      -0.00011531355013357167    3.7616266651145648e-06     -0.00012616041228202978    3.315674277395706e-05     
MWEBV         All|All|All                           All                  All      -0.8219244118672013        -4.074091575237837         0.052289213144296465       -1.0570044108045171       
Redshift      All|All|All                           All                  All      4.903776154698175          1.1177201201944875         4.951869343758741          -1.0122638222829772       
