#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5375.524000567979     All      0.44623343179583047        0.23149098131343138        -0.44392038694118535       -0.08975880895548584       
Zeropoint     AB|CNIa02|SDSS_g                      4638.432612377664     All      -0.3855553286289836        0.35532445861150563        0.0333067490416245         0.24281524816260322        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4296.8009126751895    All      -0.7412879166207889        0.5542530832030046         0.15016179982744887        0.42870135713360064        
Zeropoint     AB|CNIa02|SDSS_i                      7350.076177627957     All      0.6264337586366425         -0.0626727232844182        0.4525366608338551         -0.20427001934424188       
Zeropoint     AB|CNIa02|SDSS_r                      6061.0447957835       All      1.0529395071282153         -0.08110904159153165       -0.18914080944406503       -0.37783740704025537       
Check         All|All|All                           All                   All      0.9987634523109159         0.9972867582519918         0.0029440133176780736      -0.00034963004377924767    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5375.524000567979     All      3.412819979608695e-05      -6.574391577206821e-06     -0.0007067585374222615     -4.4797560586365995e-05    
Lambda        AB|CNIa02|SDSS_g                      4638.432612377664     All      1.421138096271474e-05      -1.9573857833417965e-05    -4.249714801537825e-05     -1.2901416310827207e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4296.8009126751895    All      -0.00028718307416412655    7.806213390962318e-05      -0.0007863180293592628     8.38826182578276e-05       
Lambda        AB|CNIa02|SDSS_i                      7350.076177627957     All      -0.00011987650783742442    8.747691569014873e-07      -0.00017415388948032034    3.1560975288443656e-05     
Lambda        AB|CNIa02|SDSS_r                      6061.0447957835       All      -2.323203999109962e-05     -2.17360706175487e-05      -0.0002156769817960722     -9.137386688114323e-06     
MWEBV         All|All|All                           All                   All      -0.8455354095072272        -4.008619152844162         0.07718773257737814        -1.0268759035745387        
Redshift      All|All|All                           All                   All      4.296624205943048          0.008825203112916569       0.6243054278225229         -1.3688173157063341        
