#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5375.524000567979     All      0.5776248451602717         0.19420526008353534       -0.5976187047245229       -0.1515613510175883        
Zeropoint     AB|CNIa02|SDSS_g                      4638.432612377664     All      -0.3412428862483068        0.3566969271928677        0.10292534258586894       0.23193504409623408        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4296.8009126751895    All      -0.7762206079347393        0.5615026916690802        0.28241431829896246       0.44834334241393403        
Zeropoint     AB|CNIa02|SDSS_i                      7350.076177627957     All      0.530496925594133          -0.034051989150452044     0.48513112486052723       -0.16224298066406934       
Zeropoint     AB|CNIa02|SDSS_r                      6061.0447957835       All      1.0082335391873833         -0.08119693710968434      -0.2698589587669886       -0.36690591324043814       
Check         All|All|All                           All                   All      0.9988918157587416         0.9971559526853468        0.002993122253847069      -0.0004318584119276103     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5375.524000567979     All      -3.788943012552018e-05     5.9160809397807225e-06    -0.000648916774912929     -1.4689279184941492e-05    
Lambda        AB|CNIa02|SDSS_g                      4638.432612377664     All      7.378046133641865e-05      -5.306473732909364e-05    -7.773292930369909e-05    -4.478651790883357e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4296.8009126751895    All      -0.0002463128398529841     3.1235122853270906e-05    -0.0007978482403686343    5.4802199926955065e-05     
Lambda        AB|CNIa02|SDSS_i                      7350.076177627957     All      -0.00017278941098884467    -4.122185015377494e-06    -0.000279545841161691     4.246561750303437e-05      
Lambda        AB|CNIa02|SDSS_r                      6061.0447957835       All      -0.00015048636263412672    -3.01937394474975e-05     -0.0003925675369514988    2.1664778704975205e-05     
MWEBV         All|All|All                           All                   All      -0.8525374694049002        -4.004074633339627        0.09105544947736188       -1.0224959502789344        
Redshift      All|All|All                           All                   All      4.962091291683084          0.33974447111111417       1.0646699123290748        -1.45813910181853          
