#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4433.747481696504     All      4.182302257130109          0.9646967417861418        1.9491398426489281        -0.9610988133228221       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3702.5000591526073    All      -3.194783082035979         0.0364205281719876        -1.936090595402784        0.9661104881556304        
Check         All|All|All                            All                   All      0.9875191750941297         1.0011172699581294        0.013049247246144091      0.005011674832808288      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4433.747481696504     All      -0.00016060566775288461    -7.496860109933276e-05    -0.0023303189040291385    -7.609661993434534e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3702.5000591526073    All      -0.00416151225903171       5.2491858868938313e-05    -0.0013772764502090627    0.0013111782554469079     
MWEBV         All|All|All                            All                   All      -0.27225365864566786       -1.794356383331852        0.004898363778194081      -0.49558034164448594      
Redshift      All|All|All                            All                   All      10.776389775456693         1.0624804427710188        1.057077775804749         -3.1169673216288025       
