#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4433.747481696504     All      3.834567339625604         0.9501233664199304         0.4672486860652914        -0.9187071345976315      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3702.5000591526073    All      -2.84755674812487         0.050773359550149166       -0.4562903080262907       0.9237193275164226       
Check         All|All|All                            All                   All      0.9870105915007341        1.0008967259700796         0.010958378039000682      0.00501219291879107      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4433.747481696504     All      -0.0007933937287636214    -0.00023307882052982392    -0.0026869546088432563    6.260655596816657e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3702.5000591526073    All      -0.0031742105639255384    -2.7924604861220235e-05    -0.0017355664328542741    0.0009473984878707762    
MWEBV         All|All|All                            All                   All      -0.3007610146379558       -1.793519285742562         0.00683744886166572       -0.4859353552477388      
Redshift      All|All|All                            All                   All      9.981396995347167         1.5749929254278427         2.685874851978171         -2.618384109185119       
