#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3604.672236684535    All      -2.1871440576368233       0.078981706054293         -0.40912759507663077       0.7198942290441752        
Zeropoint     AB|MEGACAMPSF|i           4407.810290553044    All      2.579242418087242         0.8259388666678191        0.6000487497469832         -0.5443312288938392       
Zeropoint     AB|MEGACAMPSF|z           5076.857066199106    All      0.6108944067817298        0.0950541084542067        -0.19020637949176694       -0.17651419293742515      
Check         All|All|All               All                  All      1.0029927672321488        0.9999746811763188        0.0007147751785854806      -0.0009511927870891612    
Lambda        AB|MEGACAMPSF|r           3604.672236684535    All      -0.003411803812856109     6.400100022527749e-05     -0.0026137372832923454     0.001015544887710207      
Lambda        AB|MEGACAMPSF|i           4407.810290553044    All      -0.0007436737929373382    -0.0002555325143868602    -0.0022937609363992183     5.664365806637955e-05     
Lambda        AB|MEGACAMPSF|z           5076.857066199106    All      0.00019021206116213903    2.553356372627758e-05     -0.00028108953187453616    -6.618493918653841e-05    
MWEBV         All|All|All               All                  All      -0.28818024781161267      -1.89057337133125         -0.008949852481826885      -0.5223515483093315       
Redshift      All|All|All               All                  All      10.855263622360866        1.4456975114756077        5.047464905181652          -2.839760071294909        
