#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3604.672236684535    All      -2.213366012161248        0.08900298059142386       -0.05716959068063909       0.7474061103678907        
Zeropoint     AB|MEGACAMPSF|i           4407.810290553044    All      2.5295177404113223        0.8119214280750242        0.5118763737602117         -0.5366349345704069       
Zeropoint     AB|MEGACAMPSF|z           5076.857066199106    All      0.6874511307428202        0.09919732528658187       -0.45799823099815784       -0.2120519749521127       
Check         All|All|All               All                  All      1.0036028589928945        1.00012173395303          -0.0032914479185852663     -0.0012807991546288644    
Lambda        AB|MEGACAMPSF|r           3604.672236684535    All      -0.003301158514488597     0.00010844788749670243    -0.0010210531461920865     0.0010650560654583009     
Lambda        AB|MEGACAMPSF|i           4407.810290553044    All      -0.000644308924777998     -0.0002627526911610058    -0.0023492817807388043     1.9447762102858616e-05    
Lambda        AB|MEGACAMPSF|z           5076.857066199106    All      0.00013992670114529554    2.1088752067403506e-05    -0.00018759376085013396    -4.708087762682749e-05    
MWEBV         All|All|All               All                  All      -0.2870826879658468       -1.891091407083323        -0.03286765541271608       -0.523945142641374        
Redshift      All|All|All               All                  All      10.46615474164087         1.3780141375658417        2.699249756711841          -2.8398512662558653       
