#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4882.2140067951       All      2.17904340281795          0.5502766104658718         0.640830932357983         -0.5019455878237898       
Zeropoint     AB|MEGACAMPSF|r           4001.0152772806214    All      -1.3321361774086062       0.3609373866648724         -0.8116437229489959       0.5152698286740932        
Zeropoint     AB|MEGACAMPSF|z           5635.739405850068     All      0.5351233388272375        0.0241062768619571         -0.071277981618878        -0.1696358779957872       
Zeropoint     AB|MEGACAMPSF|g           3140.139228441474     All      -0.3838980769721195       0.06387479987424172        0.24866936551335428       0.1569513289647201        
Check         All|All|All               All                   All      0.9981324872644622        0.9991950738669431         0.0065785933034634425     0.0006396918192362877     
Lambda        AB|MEGACAMPSF|i           4882.2140067951       All      -0.0003567679537022405    -0.00012128827493472705    -0.001522132068874766     8.777715091749348e-06     
Lambda        AB|MEGACAMPSF|r           4001.0152772806214    All      -0.0006956673142793496    0.00017798979539826        -0.0008591095162584317    0.0002462407511238451     
Lambda        AB|MEGACAMPSF|z           5635.739405850068     All      -3.797104702863393e-05    -6.7491872822540005e-06    -4.77929425513753e-05     8.037207367049353e-06     
Lambda        AB|MEGACAMPSF|g           3140.139228441474     All      -0.0008712471194137728    0.00014745174183259624     0.0006439808722124093     0.00036056164193468056    
MWEBV         All|All|All               All                   All      -0.3000537154208658       -2.2037416088814155        0.10366729801833952       -0.6154675809876343       
Redshift      All|All|All               All                   All      2.8852411035522505        0.3522639409132111         0.0023546633357796054     -0.8249689165348656       
