#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4882.2140067951       All      2.0912780823348567        0.5731943762238956         0.7050550250146179         -0.46302643898500273      
Zeropoint     AB|MEGACAMPSF|r           4001.0152772806214    All      -1.1168812236969596       0.3346659671256802         -0.8369901928253586        0.4354656463861778        
Zeropoint     AB|MEGACAMPSF|z           5635.739405850068     All      0.4290293215250358        0.029655460884292495       -0.026118275726828045      -0.13125474410922436      
Zeropoint     AB|MEGACAMPSF|g           3140.139228441474     All      -0.4177252665315039       0.0627817907442818         0.17025543492336423        0.16411467487305753       
Check         All|All|All               All                   All      0.9857009136314289        1.00029759497815           0.01220199138579553        0.005299138165008238      
Lambda        AB|MEGACAMPSF|i           4882.2140067951       All      -0.0002996608878911006    -0.00012634931439344982    -0.0014043336268338693     -6.215678624947666e-06    
Lambda        AB|MEGACAMPSF|r           4001.0152772806214    All      -0.0007706170896449652    0.00019329671558120649     -0.0009990602038648072     0.00026939496980348313    
Lambda        AB|MEGACAMPSF|z           5635.739405850068     All      -4.481924057960127e-05    -4.863660354431493e-06     -5.6030500913194343e-05    1.0514463061909497e-05    
Lambda        AB|MEGACAMPSF|g           3140.139228441474     All      -0.001142538984085731     0.00016484050113786957     0.00033926286552415273     0.00044099625335518235    
MWEBV         All|All|All               All                   All      -0.38538730868839255      -2.18919060224696          0.17640913642919753        -0.579685746536732        
Redshift      All|All|All               All                   All      3.227847867572527         0.22968188725016603        0.4674172104693891         -0.9557426131882915       
