#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5300.6763360518535    All      0.16868326915804377        0.21320524402632657        0.3291541948472032         0.029190911909560135       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6173.524693778028     All      0.7475600561968554         -0.08965061850316758       -0.16148989076569809       -0.2799136122915061        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6270.873834655886     All      0.6029233944917982         -0.0219883471701543        0.42891462909191436        -0.18441382328220207       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8098.562658614664     All      0.14417985766522382        -0.01937949312962317       0.12995211186972444        -0.047477495592408714      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.2067670024735    All      0.28938431554945043        -0.06774881264162147       0.0008475387490269881      -0.11629218742099517       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4352.760261302457     All      -0.45500265775998283       0.36695434430047413        0.2215070121321494         0.277623277759792          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5345.507307581577     All      0.17458385585516473        0.2077636338152722         -0.592743187928213         -0.01564366084236407       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4317.939721258822     All      -0.6751312466978108        0.40749637683266116        -0.35667797996545847       0.33673053429159744        
Check         All|All|All                                All                   All      0.9971808444587429         0.9966523275301675         -0.0005355719693511674     -0.00019605546852652367    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5300.6763360518535    All      9.386428106298737e-06      1.054728369698047e-05      -0.0005609843823684853     -2.4656027620130547e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6173.524693778028     All      -0.00015199634235071898    -2.1396678431826617e-05    -0.0003171632277294578     2.8387068964155256e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6270.873834655886     All      -0.00017289356849959964    -2.1609553301410446e-06    -0.00023099036797523054    4.530518982307883e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8098.562658614664     All      -1.129984075320808e-05     2.971267038956632e-06      2.300950022163699e-06      4.751250145016657e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.2067670024735    All      -8.083169566172733e-05     7.176571739131035e-07      -0.0001428770021174181     2.018736271842155e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4352.760261302457     All      -0.00016064495647361406    7.103777665335849e-05      -0.0001892932929782899     6.701939804200222e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5345.507307581577     All      -9.348992784167652e-06     -5.8920286974124355e-06    -0.00107631785349276       -4.690507551848629e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4317.939721258822     All      -0.00036388303174142157    0.00012411154956438924     -0.000615338688795335      0.00013149615014359934     
MWEBV         All|All|All                                All                   All      -0.8587709332481186        -4.0261359328083834        0.03894991295678718        -1.0299768278453372        
Redshift      All|All|All                                All                   All      5.553033319979758          -0.15223215011364033       3.8052455865886126         -1.6885820275995957        
