#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5434.438835976918     All      0.6789407878631785         0.04646660030189764       -0.060920723350021966      -0.2087362627557765        
Zeropoint     AB|MEGACAMPSF|r           3857.7785743964027    All      -1.5699639634487588        0.31127056885829063       -0.3075848172643614        0.5990538802416391         
Zeropoint     AB|MEGACAMPSF|g           3023.5946079784912    All      -0.1302753353798719        0.04037376725101183       0.32453213258614166        0.07006840547074435        
Zeropoint     AB|MEGACAMPSF|i           4717.235851875779     All      2.0391446133787245         0.6112762961258511        0.14791375074456603        -0.45850297504914267       
Check         All|All|All               All                   All      1.0178461024132723         1.0093872325370512        0.10394034271632435        0.0018830479074642414      
Lambda        AB|MEGACAMPSF|z           5434.438835976918     All      -1.8007532797056375e-05    -1.402053743870253e-06    -1.2643617103892118e-05    4.844724270342965e-06      
Lambda        AB|MEGACAMPSF|r           3857.7785743964027    All      -0.0018152428512480522     0.00022330696871913919    -0.0016613139777871488     0.0005898859299707988      
Lambda        AB|MEGACAMPSF|g           3023.5946079784912    All      -0.0006816557099919762     0.00011215871746977336    0.000629810945005744       0.0002866770446018034      
Lambda        AB|MEGACAMPSF|i           4717.235851875779     All      -0.00013739803009517554    -7.536245868684839e-05    -0.0008435614608570532     -1.7437247143025777e-05    
MWEBV         All|All|All               All                   All      -0.2962134714051847        -2.0813733060160544       -0.020557704986456926      -0.5824026841022848        
Redshift      All|All|All               All                   All      2.695296724524811          -0.2808591355403678       -0.36692768578932          -0.9858061736216013        
