#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5434.438835976918     All      0.5583486354696569        0.05046776991335378       0.04683138528967079       -0.163343637059159         
Zeropoint     AB|MEGACAMPSF|r           3857.7785743964027    All      -1.4853559420627822       0.2605083010864817        -0.7465866708278838       0.5353686870507635         
Zeropoint     AB|MEGACAMPSF|g           3023.5946079784912    All      -0.2702103746253889       0.03310205010755851       0.14889981826062165       0.10544355043474027        
Zeropoint     AB|MEGACAMPSF|i           4717.235851875779     All      2.1836572541983794        0.6566116030674252        0.56664945767887          -0.47212204411366426       
Check         All|All|All               All                   All      0.9864395729798652        1.0006897241748192        0.0157939904012786        0.005346556312680495       
Lambda        AB|MEGACAMPSF|z           5434.438835976918     All      -1.932952146619113e-06    -2.150126998302923e-06    -4.19750613838741e-05     -1.9438951991122354e-06    
Lambda        AB|MEGACAMPSF|r           3857.7785743964027    All      -0.0019030513865783661    0.00024920920390536256    -0.0019072420009172584    0.0006159506307355259      
Lambda        AB|MEGACAMPSF|g           3023.5946079784912    All      -0.0008541775996594869    9.312335745460144e-05     0.00033131160374757666    0.00032335200222394347     
Lambda        AB|MEGACAMPSF|i           4717.235851875779     All      -0.0001434902835227236    -5.177052088743369e-05    -0.0007798558727875528    -4.925241673161182e-06     
MWEBV         All|All|All               All                   All      -0.32181324929187594      -2.0642613587646963       0.17889326318946186       -0.559589489386275         
Redshift      All|All|All               All                   All      2.980462046914093         -0.30324668701418034      0.8825081323803954        -1.0302296807140585        
