#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5303.411954727209     All      0.4594955968154555         0.7365095331905103        2.9819732010263866         0.2233043208194364        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6446.638756953921     All      1.002223904266635          -0.2499760176262633       -2.208004022286838         -0.5064157892332883       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4319.5275107814405    All      -1.0242186666697497        0.6167097696421209        -1.1951695708445877        0.48116944791731664       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7733.95529541108      All      0.5591378486133252         -0.10616403361707327      0.41054135042754647        -0.19839013590287446      
Check         All|All|All                                      All                   All      0.9966386830256659         0.9970792515892946        -0.010659041677492653      -0.0003321563994097554    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5303.411954727209     All      0.000100786969704536       0.00014833778023897528    0.0006520755084670292      4.4587998434665245e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6446.638756953921     All      -0.0003444683346885705     3.3888773606737972e-06    -0.00041595319590091896    9.474645739766071e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4319.5275107814405    All      -0.00024845769087991686    9.817414950179143e-05     -0.0006192038221673679     8.527717157810386e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7733.95529541108      All      -7.744581573126695e-05     2.0453265685469904e-05    7.017433168127414e-06      3.22021074139317e-05      
MWEBV         All|All|All                                      All                   All      -0.7938432451801867        -4.0115898428340735       0.03681440988632117        -1.0464830695437983       
Redshift      All|All|All                                      All                   All      2.823863435458189          -0.4102444159005181       -11.236942289686363        -1.5549084511549638       
