#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5303.411954727209     All      0.33075381337503684        0.8300430035382611        3.3144988952604315         0.310545778115278          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6446.638756953921     All      1.0452496245009735         -0.23940937893121017      -1.858751137796899         -0.5014032277883905        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4319.5275107814405    All      -0.9766772443455823        0.5573512999885288        -1.5853168764019987        0.42893815383291123        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7733.95529541108      All      0.5960328585552979         -0.15112953710403332      0.11288167472729427        -0.2383379824826358        
Check         All|All|All                                      All                   All      0.9953590520857257         0.9968553874915465        -0.016687444211171965      -0.00025727832283709007    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5303.411954727209     All      5.001388152023036e-05      0.00016308091353422786    0.000566709132608308       6.211927790922987e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6446.638756953921     All      -0.0002895331091438999     8.332260726723291e-06     -0.00025838800563002273    8.549388048837461e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4319.5275107814405    All      -0.00031612720794860563    8.540977004446558e-05     -0.0011351123691137912     8.013895225553155e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7733.95529541108      All      -0.00010499962255400923    3.202754626188883e-05     3.834103452338409e-05      4.6345241220065696e-05     
MWEBV         All|All|All                                      All                   All      -0.7826881701162596        -4.022817710587567        -0.020853897613015704      -1.0563474020991177        
Redshift      All|All|All                                      All                   All      2.9009875683418507         -0.6355629496717974       -13.523534978326657        -1.7554641075063193        
