#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7133.511231293753    All      0.58321862735717           -0.3616656976055843       0.14588118093405433       -0.3012699033142635       
Zeropoint     AB|PS|PS_z                8198.145030184956    All      0.19960273987084146        -0.11249851602697092      0.022203920245367215      -0.10067078789061795      
Zeropoint     AB|PS|PS_g                4637.682761587696    All      -0.9041887531207908        0.7700160819318569        0.1540050847120611        0.552216134090619         
Zeropoint     AB|PS|PS_r                5889.542273870315    All      1.1090951256068076         0.7231485759736422        -0.37330070700807294      -0.14237418452549555      
Check         All|All|All               All                  All      0.9877277397140282         1.019000444272944         -0.0512105211165903       0.00790125836024197       
Lambda        AB|PS|PS_i                7133.511231293753    All      -0.00042487281460770136    0.00027485731409790544    -0.0011921939541640382    0.00017472298273131387    
Lambda        AB|PS|PS_z                8198.145030184956    All      0.0001723130743210612      1.2493476038081066e-05    -0.0005937315317605982    -7.855401242155769e-05    
Lambda        AB|PS|PS_g                4637.682761587696    All      -9.54912624309532e-05      8.258678574496533e-05     -0.0004217721521345704    3.9184124864326516e-05    
Lambda        AB|PS|PS_r                5889.542273870315    All      -0.0005491576959779632     0.00022249571220565723    -0.0013009612659437533    0.00019329697548837985    
MWEBV         All|All|All               All                  All      -0.6338984734856128        -3.9264184487795006       0.05320573416859875       -1.070107749092114        
Redshift      All|All|All               All                  All      8.773919452742371          -1.187533682675923        25.273871864732577        -2.1169161856514433       
