#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7133.511231293753    All      0.6753014940350146         -0.49457089556819156       -0.006099173079785922      -0.3813381030342466       
Zeropoint     AB|PS|PS_z                8198.145030184956    All      0.3331045745098673         -0.09108035793508051       0.19465984608143752        -0.12948421287680487      
Zeropoint     AB|PS|PS_g                4637.682761587696    All      -1.135919791992101         0.8957365758747393         -0.06814096324104951       0.658736500294077         
Zeropoint     AB|PS|PS_r                5889.542273870315    All      1.1319517759348576         0.7092325594356019         -0.14062389846018433       -0.14396895458902312      
Check         All|All|All               All                  All      1.0044380524876388         1.0193178818070692         -0.020204188699582237      0.003945229794002497      
Lambda        AB|PS|PS_i                7133.511231293753    All      -0.00041892652937966046    0.00034162091789495747     -0.0013481158849850674     0.0001875751045705745     
Lambda        AB|PS|PS_z                8198.145030184956    All      0.00022205892623619535     -2.556398148057374e-05     0.00037371983610245686     -6.398152774290962e-05    
Lambda        AB|PS|PS_g                4637.682761587696    All      -0.0002729505111091331     0.00015217670409926694     -0.00030692053409290735    0.00012478146646178234    
Lambda        AB|PS|PS_r                5889.542273870315    All      -0.00040068674597919934    -0.00012009272687810408    -0.001598265128986945      2.0075471149799273e-05    
MWEBV         All|All|All               All                  All      -0.6624200387395023        -3.9314006377135335        0.039135217336585384       -1.0630681023449249       
Redshift      All|All|All               All                  All      7.4467674357750155         -4.191467962248296         14.260053079618928         -3.1545954808193875       
