#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4289.619650835419     All      -0.3200762544900878        0.3519725814422614         -0.961028961689309         0.1760221068993205        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6312.569165212876     All      0.741779412339699          -0.18363339194813477       -2.261930484599459         -0.4023769643902149       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6310.246289495279     All      0.055945654169561494       -0.011514157815817327      -0.2577663136563658        -0.03347680682615666      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4415.433147492658     All      -0.39721566277978404       0.5868031877055202         2.206237061566426          0.4189815400390569        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5294.724392012051     All      -0.026318930253661253      0.01725321964762827        -0.18505544951539163       0.005934707921068687      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7821.416633300546     All      0.8511504330572669         -0.025236123332561533      1.911928953433839          -0.2001473256577826       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8153.9946219270005    All      0.13518723143619138        0.0049479232178128996      0.2327069588346709         -0.03203858464430898      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5340.058100075962     All      -0.014989793957937175      0.26415417806369135        -0.5291943877599107        0.0673108602275312        
Check         All|All|All                       All                   All      1.0254620895212485         1.0047474169804005         0.1558973766145001         0.00020953356851415028    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4289.619650835419     All      -0.00030170267469092985    0.00034045360299741497     -0.0008565644398802784     0.00017094688906343542    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6312.569165212876     All      -3.443742860823905e-05     2.3675715418777896e-05     0.0003348154466048946      3.387063850550082e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6310.246289495279     All      1.0380603294885583e-06     1.9606768046298413e-06     2.574315519422227e-05      1.4493253214168517e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4415.433147492658     All      -0.0003430922927492232     0.0005450433022551582      0.0023718544256020662      0.00039513995156738264    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5294.724392012051     All      -2.571856976393631e-05     1.9033110757159932e-05     -0.00019488618322370744    5.8802193548691606e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7821.416633300546     All      -0.0001679570787111108     3.863064867269903e-06      -0.0003906923525527341     3.853266816894337e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8153.9946219270005    All      1.1916702920190883e-06     -1.4632303911210417e-06    1.2267496942137847e-06     -8.100442915416422e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5340.058100075962     All      -9.106681221402631e-05     0.0002492830237668799      -0.0011632060821606847     5.895459372146332e-05     
MWEBV         All|All|All                       All                   All      -0.6888853888921109        -4.0620042192403005        0.4971860851959851         -1.0765486438685146       
Redshift      All|All|All                       All                   All      2.791002758821083          -4.100788845848502         -16.150229860520586        -2.9655938422022494       
