#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5034.608717985914    All      -0.4064174248148796       0.3907664626257912         -0.06466123516792709      0.256783484763083         
Zeropoint     AB|PS|PS_i                6098.001536428531    All      0.3868589222123312        1.190562001619             -1.2414082734163547       0.20639418434808735       
Zeropoint     AB|PS|PS_g                3964.470747808837    All      -0.4127625565170139       0.4164189601393531         0.2675526764158937        0.28203134636004706       
Zeropoint     AB|PS|PS_z                7008.091719351657    All      1.4173417499903094        -0.9791330841133927        1.1216468615647786        -0.7305567472538527       
Check         All|All|All               All                  All      0.9850206908707472        1.0186143402707515         0.08313002939639058       0.014652268217364761      
Lambda        AB|PS|PS_r                5034.608717985914    All      -0.0005365804647034366    0.0005140492803113084      -9.938767153863919e-05    0.00033778945733353466    
Lambda        AB|PS|PS_i                6098.001536428531    All      -4.682968882490332e-05    -0.00010516937002295872    0.0005853876923095427     7.120010634642334e-06     
Lambda        AB|PS|PS_g                3964.470747808837    All      -0.0004994409309875312    0.0005034353566930152      0.00032204648745909245    0.00034104125617669123    
Lambda        AB|PS|PS_z                7008.091719351657    All      -0.0006282316762232919    0.0002631264958037073      -0.0017365218511920923    0.00021285168677970118    
MWEBV         All|All|All               All                  All      -0.4457655926191211       -3.203567415076769         0.054119944494783         -0.8958916580006068       
Redshift      All|All|All               All                  All      12.706966346609114        -6.263227105890046         4.419043096388137         -5.982014510844947        
