#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5034.608717985914    All      -0.5012810074068279        0.47225283792684536       0.013457171819286629       0.317712533509093         
Zeropoint     AB|PS|PS_i                6098.001536428531    All      0.8110316579713827         0.960755090096832         -1.2084290740276948        -0.005156791862001575     
Zeropoint     AB|PS|PS_g                3964.470747808837    All      -0.6638258735572247        0.6375607391181148        0.4322450750608109         0.44319354656634224       
Zeropoint     AB|PS|PS_z                7008.091719351657    All      1.3468740310812004         -1.0599820625838419       0.840247928674831          -0.7464958069826028       
Check         All|All|All               All                  All      0.9927988080885305         1.0105866045579504        0.07752110152723368        0.009253481230830918      
Lambda        AB|PS|PS_r                5034.608717985914    All      -0.000849212463859858      0.0007908944713357586     -5.6676086025814846e-05    0.0005317075932931857     
Lambda        AB|PS|PS_i                6098.001536428531    All      -0.00017508294773468523    -0.0006662351472746871    -0.0026360584027731097     -0.0002776196093550221    
Lambda        AB|PS|PS_g                3964.470747808837    All      -0.0005962897915614872     0.0005759762561689092     0.0004254244417421239      0.00040083035708438677    
Lambda        AB|PS|PS_z                7008.091719351657    All      -0.0006454463363561425     0.00019188213045308038    -0.002879490502989549      0.00014424699280119046    
MWEBV         All|All|All               All                  All      -0.45977563254388          -3.193711142366773        0.0798985587898926         -0.8869672336380058       
Redshift      All|All|All               All                  All      11.905543808281752         -4.635596567207934        15.204567241392208         -4.709483603719529        
