#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5383.168453155571     All      1.2846701234606406        0.3450008813778993         0.4663807452345847         -0.28526875569563626       
Zeropoint     AB|SDSS|SDSS_z            6400.138557132726     All      0.15739988230170435       0.03341755938031099        0.14872120910619513        -0.03374837696216437       
Zeropoint     AB|SDSS|SDSS_g            3397.1707921941097    All      -1.1563778268661673       0.17128406206659008        -0.3546191340907945        0.41663813275645556        
Zeropoint     AB|SDSS|SDSS_r            4439.086663773081     All      0.7088161589198113        0.44906717249091344        -0.2689324974080809        -0.09661001256475732       
Check         All|All|All               All                   All      0.9945083378159891        0.9987696753157138         -0.008449677158095525      0.0010109875338976115      
Lambda        AB|SDSS|SDSS_i            5383.168453155571     All      0.00013643131846800791    3.976552385785482e-05      -0.00045177962538539324    -5.16480792468899e-05      
Lambda        AB|SDSS|SDSS_z            6400.138557132726     All      -7.875375560143645e-05    -2.1033996621902874e-05    -0.00041902790184320616    1.0193368958121784e-07     
Lambda        AB|SDSS|SDSS_g            3397.1707921941097    All      -0.0017804035652344992    5.351024708057955e-05      -0.0029185439432848556     0.00046712485084203704     
Lambda        AB|SDSS|SDSS_r            4439.086663773081     All      -0.000593691074852932     -0.00025936822707753294    -0.003575264596957091      -5.0647687950398184e-05    
MWEBV         All|All|All               All                   All      -0.7426820092146278       -2.5728438643565           -0.0028021975109537856     -0.5962689759611963        
Redshift      All|All|All               All                   All      4.849487026593659         1.573363279317519          9.819710217064815          -0.6289327190678373        
