#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6967.92442353079     All      1.4825456126788872        -0.4973007580973743       2.0592272965457403        -0.5530072414167737        
Zeropoint     AB|PS|PS_z                8007.845383754046    All      0.24863575833813154       -0.039666766127766095     0.09973966463603222       -0.08945869394487337       
Zeropoint     AB|PS|PS_g                4530.030434562572    All      -0.7450768048687821       0.8115164538159192        1.1065522489862576        0.5564139794123188         
Zeropoint     AB|PS|PS_r                5752.831126625322    All      0.0177859722552563        0.7259235365539851        -3.2778007243364757       0.08439050979303962        
Check         All|All|All               All                  All      1.0038905384034928        1.000472466144764         -0.012281514168445806     -0.001661446156288618      
Lambda        AB|PS|PS_i                6967.92442353079     All      -0.0012670247350373759    0.0004756585001367152     -0.002740991949665114     0.00044533138047881776     
Lambda        AB|PS|PS_z                8007.845383754046    All      -4.452535841581726e-05    9.119345029348444e-06     0.0003605514492980235     3.356359999967262e-05      
Lambda        AB|PS|PS_g                4530.030434562572    All      -0.0001988245348289631    9.532933799830851e-05     -0.0006111276413985782    6.854377392692717e-05      
Lambda        AB|PS|PS_r                5752.831126625322    All      -3.104675649727403e-05    -9.916923456431456e-05    -0.0002788819281627325    -3.4634951864929936e-05    
MWEBV         All|All|All               All                  All      -0.6241358622800419       -3.784879628678972        0.11246324334902137       -1.0245395120716985        
Redshift      All|All|All               All                  All      8.751019472834999         -2.884581915284379        19.716832185777214        -2.910226507709414         
