#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                6967.92442353079     All      1.6959957440259517         -0.5433947546118034       2.4418490801482395        -0.6204746497255526        
Zeropoint     AB|PS|PS_z                8007.845383754046    All      0.2380398762435217         -0.05608294665595537      0.369520486916608         -0.07931547758693869       
Zeropoint     AB|PS|PS_g                4530.030434562572    All      -0.7018185655773491        0.778721585636255         1.4107440025465712        0.5452156610952719         
Zeropoint     AB|PS|PS_r                5752.831126625322    All      -0.237857827437714         0.8242135483184754        -4.095088353314824        0.1632066030462731         
Check         All|All|All               All                  All      0.9943592272544102         1.0034574326869716        0.12702521629659458       0.008632136829053727       
Lambda        AB|PS|PS_i                6967.92442353079     All      -0.0013792547872191036     0.0003927795670805676     -0.0031773101974665826    0.0004354211261390064      
Lambda        AB|PS|PS_z                8007.845383754046    All      4.162755915517492e-05      2.873083154124475e-05     0.0008859103106593336     3.533321985224709e-05      
Lambda        AB|PS|PS_g                4530.030434562572    All      -0.00024575442024594963    0.0001803608571458104     0.00012093352271768412    0.00014419647231403348     
Lambda        AB|PS|PS_r                5752.831126625322    All      -2.6642802001275646e-05    -1.676534882720114e-05    -0.0010386881727356273    -4.3134471169611225e-05    
MWEBV         All|All|All               All                  All      -0.6157895770809003        -3.8004095045193864       0.1952881687742325        -1.0286206672040443        
Redshift      All|All|All               All                  All      9.961661910572744          -2.8847517865859373       26.543724278087044        -2.9999750720067606        
