#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4866.891013908783    All      4.909408034021677         0.28690118817849           0.18091408522878366       -1.4976291909338253       
Zeropoint     VEGAHST|ACSWF|F775W          4178.789182875298    All      -3.9098723661784476       0.7145822079261066         -0.18253573124235706      1.4981912634932741        
Check         All|All|All                  All                  All      0.9995356678432292        1.0014833961045966         -0.0016216460135733968    0.0005620725594488452     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4866.891013908783    All      -0.0002621915365889865    -0.00010814904408146994    -0.001228904069514291     -4.663636813010195e-06    
Lambda        VEGAHST|ACSWF|F775W          4178.789182875298    All      -0.002659420612741029     0.00039860152173495374     -0.0009726628048143107    0.0009526929414385739     
MWEBV         All|All|All                  All                  All      0.1373191326258114        -1.723705485958149         0.0026215606673587813     -0.606079955951965        
Redshift      All|All|All                  All                  All      11.525517382469667        -0.24362671388384882       4.002295388733974         -3.6549933642009647       
