#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4866.891013908783    All      5.0835790053823295        0.36580156183081414       1.1064973811288903        -1.487357427471289        
Zeropoint     VEGAHST|ACSWF|F775W          4178.789182875298    All      -4.086158583809484        0.6358219774119434        -1.1051019324423539       1.4887887936406594        
Check         All|All|All                  All                  All      0.997420421572846         1.0016235392427575        0.0013954486865364046     0.0014313661693703406     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4866.891013908783    All      -0.0005530118336024225    -8.70715976969176e-05     -0.0007061372180442068    0.00012026040294249139    
Lambda        VEGAHST|ACSWF|F775W          4178.789182875298    All      -0.002140773944510323     0.00027851661847619336    -0.001015666852434885     0.000742717981825061      
MWEBV         All|All|All                  All                  All      0.1362440480839624        -1.723754153653978        -0.0008534180823138726    -0.6059006905587028       
Redshift      All|All|All                  All                  All      11.45786102544027         0.07541255519871726       4.191907665481742         -3.520572351814513        
