#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7743.088315255858    All      0.6941031327240093         -0.018356472903491294     1.6390238793934753         -0.1589294248047539        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5309.674748443678    All      -0.023477116959039077      0.29515726376292406       -3.1863821357484667        -0.038403899633738386      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6454.25158602397     All      1.119802184048316          -0.11614422110763911      -0.02864600908605297       -0.40386674540740863       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4324.628436371149    All      -0.7940401148864789        0.8296668164707199        1.5770745440738088         0.5992723595750198         
Check         All|All|All                                      All                  All      0.9963880849268074         0.9903233862225136        0.001070278632764321       -0.0019277102708811222     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7743.088315255858    All      -4.8352981898621276e-05    4.109453922667389e-06     -7.770697140800374e-05     1.3621036071137509e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5309.674748443678    All      -0.00020017823206800752    5.7959200282832343e-05    -0.002180011131281657      -1.3200030174184754e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6454.25158602397     All      -0.00024393975737446334    2.080966260667353e-05     -0.0001203272439287337     8.086794383156364e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4324.628436371149    All      -0.0002810691598455836     0.00019801406638721814    -0.00021816885084254228    0.0001463172943541933      
MWEBV         All|All|All                                      All                  All      -0.7613049712539959        -3.996777275729446        0.34840745871014267        -1.0383519487401176        
Redshift      All|All|All                                      All                  All      3.760698612696106          -0.10604332712853548      3.8349814768402712         -1.088387451953591         
